"","Satisfaccion_con_pisos","Satisfaccion_con_muros_y_techos","Satisfaccion_con_pintura_y_recubrimientos","Satisfaccion_con_iluminacion_natural","Satisfaccion_con_ventilacion_natural","Satisfaccion_con_proteccion_contra_exterior","Satisfaccion_con_tamano_de_dormitorios","Satisfaccion_con_tamano_de_banos","Satisfaccion_con_tamano_de_cocina","Satisfaccion_con_tamano_de_sala_comedor","Satisfaccion_con_tamano_de_patio","D1","IndiceSatisfaccion"
"102",5,5,3,5,5,5,5,5,5,5,5,1.13100797517884,92.4454120862177
"103",4,4,4,5,5,5,4,4,4,4,4,-0.294056521815639,54.1008457589995
"104",5,5,5,5,5,5,2,5,5,5,3,0.80496089510462,83.6723818731508
"105",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"106",3,3,3,5,5,5,5,3,3,5,5,-0.0880490958552897,59.6439390191966
"107",5,5,4,5,5,5,5,5,5,5,5,1.21647088560609,94.7449839612497
"108",5,5,3,5,5,5,5,5,5,5,5,1.13100797517884,92.4454120862177
"109",5,5,4,5,5,4,5,5,5,5,5,0.998548241879304,88.8812849608128
"110",4,4,5,5,5,5,5,5,5,5,5,0.992875650918725,88.7286511391199
"111",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"112",4,3,3,5,5,4,5,5,5,5,5,0.399811381838612,72.7709227345411
"113",5,5,5,5,5,5,4,5,5,5,4,1.00489259961398,89.0519941788686
"114",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"115",2,2,2,4,4,3,4,2,2,2,4,-1.79265978862232,13.7775533863054
"116",4,3,2,5,5,5,5,5,4,4,5,0.10294894747791,64.783171072486
"117",5,5,4,5,5,5,4,5,4,4,4,0.351556420725472,71.472514444304
"118",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"119",5,5,5,4,4,5,4,5,5,5,5,0.777852550303632,82.9429708693437
"120",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"121",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"122",4,4,4,4,4,4,3,4,3,3,4,-1.1716462330713,30.487320222227
"123",5,5,5,5,4,5,5,5,5,5,5,1.20467194569813,94.427506938388
"124",3,2,2,2,2,2,2,2,2,2,2,-2.24684604087672,1.5566504649221
"125",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"126",3,3,4,5,5,3,3,5,5,3,4,-0.478609190363213,49.1350410147845
"127",5,5,5,5,5,5,5,5,5,2,5,1.10401008151321,91.7189730186948
"128",4,4,5,5,5,4,5,5,5,5,5,0.774953007191935,82.864952138683
"129",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"130",2,2,4,4,4,4,4,3,4,4,4,-1.31410759614845,26.6540767465117
"131",4,4,4,4,4,4,4,4,4,4,4,-0.924388061220647,37.1403576043736
"132",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"133",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"134",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"135",3,5,2,5,5,5,4,4,4,4,4,-0.308274651650693,53.7182749885825
"136",4,4,4,4,4,4,5,5,5,5,5,0.167242990513845,66.5131469457436
"137",4,4,4,4,4,4,4,4,4,4,4,-0.924388061220647,37.1403576043736
"138",5,5,5,5,5,5,5,5,5,5,5,1.41177200660597,100
"139",5,5,4,4,4,4,4,3,3,4,3,-0.713875792291062,42.804663799418
"140",5,4,4,5,5,5,5,4,5,5,5,0.778285066344758,82.9546086864821
"141",4,3,5,5,3,5,5,3,4,5,5,0.0790343445872493,64.1396948798898
"142",3,3,3,5,5,5,5,5,5,5,5,0.534259593948991,76.3885543559275
