"","vid","P6_5_1","P6_5_2","P6_5_3","P6_5_4","P6_5_5","P6_5_6","P6_9_2","P6_9_3","P6_9_4","P6_9_5","P6_9_6","P6_9_7","p2distance.3","estratos...stratumID..."
"32334","5066_18",4,4,4,4,4,4,4,4,2,1,2,3,19.8239001875071,"Alta"
"32335","5066_19",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"32336","5066_20",4,3,3,3,3,2,4,4,4,4,4,4,22.0205677979929,"Alta"
"32337","5067_1",4,4,4,4,4,4,4,3,3,3,3,3,22.183589130067,"Muy Alta"
"32338","5067_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"32339","5067_3",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"32340","5067_5",4,4,4,4,4,4,4,4,4,3,4,4,25.1606183098513,"Muy Alta"
"32341","5067_7",3,3,2,3,2,2,2,4,4,4,4,4,18.1931633635988,"Media"
"32342","5067_8",3,2,3,4,4,4,4,4,4,3,4,3,21.3056557971208,"Alta"
"32343","5067_9",3,2,4,3,2,3,4,4,4,3,3,3,19.14562363354,"Alta"
"32344","5067_10",1,4,4,3,3,4,4,4,4,4,4,4,22.4444905556599,"Muy Alta"
"32345","5067_12",4,2,4,4,4,2,3,3,3,2,3,4,18.7056329284554,"Alta"
"32346","5067_14",4,4,4,4,4,4,2,4,4,4,4,4,24.5351272912884,"Muy Alta"
"32347","5067_17",4,4,2,2,2,3,4,4,4,1,4,4,18.799030928919,"Alta"
"32348","5067_18",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"32349","5067_20",4,4,4,4,4,4,4,4,4,2,4,4,24.4001741315328,"Muy Alta"
"32350","5068_1",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
"32351","5068_3",4,4,4,4,4,4,3,4,4,4,2,2,22.6784286924513,"Muy Alta"
"32352","5068_4",4,4,4,4,4,4,2,2,2,2,2,2,17.060180575083,"Media"
"32353","5068_5",4,4,4,4,4,4,4,4,4,4,3,3,24.6462293895309,"Muy Alta"
"32354","5068_6",4,4,1,4,4,4,1,4,4,4,1,1,17.0636797412379,"Media"
"32355","5068_7",2,3,3,3,3,2,4,4,4,4,4,4,20.5116290932528,"Alta"
"32356","5068_8",3,3,2,4,3,2,3,4,4,4,4,4,20.0992948374392,"Alta"
"32357","5068_12",4,4,4,4,4,4,4,4,4,4,4,3,25.4303673933309,"Muy Alta"
"32358","5068_13",4,4,4,3,4,4,2,2,4,2,4,3,20.3651861319688,"Alta"
"32359","5068_14",4,4,2,2,2,3,2,3,3,1,1,2,12.3770954498145,"Baja"
"32360","5068_16",1,1,2,2,1,3,4,4,4,4,4,4,15.6769089697501,"Media"
"32361","5068_18",4,4,4,4,4,4,2,4,4,4,4,2,23.5537371016107,"Muy Alta"
"32362","5068_20",1,4,4,4,3,3,2,3,4,3,4,3,19.0494227085644,"Alta"
"32363","5069_2",4,4,4,4,4,4,4,4,4,4,4,4,25.9210624881698,"Muy Alta"
