uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,C_DENEVI,P3A2_2,P3A2_3,P3A3,P3A4,P3A5,P3A6,P3A7,P3A8_1,P3A8_2,P3A8_3,P3A9,P3A10,P3A11,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
4458_1_1,4458_1,4458,1,1,1,3,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,17,2,272,4458,397
4458_5_1,4458_5,4458,5,1,1,2,NA,3,2,NA,2,NA,2,NA,NA,9,2,1,17,2,272,4458,397
4461_2_1,4461_2,4461,2,1,1,2,NA,3,2,NA,5,NA,2,NA,NA,3,2,1,17,2,272,4461,421
4461_4_1,4461_4,4461,4,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,2,272,4461,421
4462_4_1,4462_4,4462,4,1,1,3,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,17,2,273,4462,335
4464_4_1,4464_4,4464,4,1,1,1,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,17,2,272,4464,332
4465_3_1,4465_3,4465,3,1,1,2,NA,3,3,NA,5,NA,1,NA,NA,1,2,2,17,2,272,4465,420
4466_2_1,4466_2,4466,2,1,1,6,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,17,2,272,4466,434
4468_5_1,4468_5,4468,5,1,1,1,NA,3,4,NA,8,1,1,NA,NA,1,1,NA,17,2,272,4468,334
4469_5_1,4469_5,4469,5,1,1,1,2,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,2,272,4469,253
4474_4_1,4474_4,4474,4,1,1,1,2,4,3,NA,1,NA,3,NA,NA,3,2,8,17,2,272,4474,408
4474_5_1,4474_5,4474,5,1,1,2,NA,1,4,NA,3,1,1,NA,NA,1,2,1,17,2,272,4474,408
4475_1_1,4475_1,4475,1,1,1,1,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,17,2,281,4475,458
4475_3_1,4475_3,4475,3,1,1,2,1,2,4,NA,5,1,1,NA,NA,9,1,NA,17,2,281,4475,458
4476_14_1,4476_14,4476,14,1,1,3,NA,2,4,NA,5,1,1,NA,NA,1,2,1,17,2,281,4476,320
4477_13_1,4477_13,4477,13,1,1,2,NA,4,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,2,281,4477,432
4478_5_2,4478_5,4478,5,2,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,2,281,4478,292
4478_6_1,4478_6,4478,6,1,1,1,NA,4,4,NA,3,1,1,NA,NA,1,2,1,17,2,281,4478,292
4478_7_1,4478_7,4478,7,1,1,1,NA,3,4,NA,5,1,1,NA,NA,1,1,NA,17,2,281,4478,292
4478_11_1,4478_11,4478,11,1,1,2,NA,2,4,NA,5,1,1,NA,NA,1,2,1,17,2,281,4478,292
4478_15_1,4478_15,4478,15,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,2,281,4478,292
4478_16_1,4478_16,4478,16,1,1,2,NA,2,4,NA,3,1,1,4,NA,1,1,NA,17,2,281,4478,292
4478_20_1,4478_20,4478,20,1,1,2,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2,281,4478,292
4479_18_1,4479_18,4479,18,1,1,4,5,2,4,NA,5,1,4,NA,NA,1,2,8,17,2,281,4479,276
4479_19_1,4479_19,4479,19,1,1,1,NA,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,17,2,281,4479,276
4480_1_1,4480_1,4480,1,1,1,2,NA,3,3,NA,5,NA,1,NA,NA,1,2,3,17,3,284,4480,329
4480_2_1,4480_2,4480,2,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,284,4480,329
4480_5_1,4480_5,4480,5,1,1,1,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,284,4480,329
4480_5_1,4480_5,4480,5,1,2,2,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,3,284,4480,329
4480_8_1,4480_8,4480,8,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,3,284,4480,329
