uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,C_DENEVI,P3A2_2,P3A2_3,P3A3,P3A4,P3A5,P3A6,P3A7,P3A8_1,P3A8_2,P3A8_3,P3A9,P3A10,P3A11,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
4248_19_1,4248_19,4248,19,1,1,3,NA,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,268,4248,576
4249_2_1,4249_2,4249,2,1,1,1,NA,3,4,NA,5,1,1,NA,NA,1,1,NA,16,4,268,4249,949
4249_6_1,4249_6,4249,6,1,1,3,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,16,4,268,4249,949
4249_6_1,4249_6,4249,6,1,2,5,NA,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,16,4,268,4249,949
4249_8_1,4249_8,4249,8,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,268,4249,949
4249_15_1,4249_15,4249,15,1,1,4,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,268,4249,949
4249_16_1,4249_16,4249,16,1,1,4,NA,2,4,NA,5,1,4,6,NA,2,2,2,16,4,268,4249,949
4249_19_1,4249_19,4249,19,1,1,4,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,268,4249,949
4250_11_1,4250_11,4250,11,1,1,1,NA,2,4,NA,3,1,1,7,NA,1,1,NA,16,4,267,4250,598
4250_16_1,4250_16,4250,16,1,1,1,NA,4,4,NA,4,1,1,NA,NA,2,1,NA,16,4,267,4250,598
4250_17_1,4250_17,4250,17,1,1,2,NA,3,4,NA,4,2,NA,NA,NA,NA,NA,NA,16,4,267,4250,598
4250_21_1,4250_21,4250,21,1,1,6,NA,4,4,NA,5,1,1,4,NA,1,1,NA,16,4,267,4250,598
4250_21_1,4250_21,4250,21,1,2,4,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,267,4250,598
4251_2_2,4251_2,4251,2,2,1,2,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,268,4251,851
4251_5_1,4251_5,4251,5,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,268,4251,851
4251_9_1,4251_9,4251,9,1,1,2,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,268,4251,851
4252_20_1,4252_20,4252,20,1,1,2,NA,3,4,NA,5,1,1,NA,NA,2,2,1,16,4,268,4252,1133
4253_8_1,4253_8,4253,8,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,267,4253,788
4253_9_1,4253_9,4253,9,1,1,1,NA,4,4,NA,5,1,1,NA,NA,2,2,4,16,4,267,4253,788
4254_4_1,4254_4,4254,4,1,1,5,4,2,4,NA,5,1,1,4,NA,1,2,1,16,4,268,4254,542
4254_7_1,4254_7,4254,7,1,1,3,NA,3,4,NA,5,1,1,NA,NA,2,2,1,16,4,268,4254,542
4254_15_1,4254_15,4254,15,1,1,1,NA,2,4,NA,5,1,1,NA,NA,2,1,NA,16,4,268,4254,542
4255_2_2,4255_2,4255,2,2,1,1,NA,4,4,NA,5,1,1,NA,NA,9,1,NA,16,4,268,4255,617
4255_3_1,4255_3,4255,3,1,1,3,NA,1,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,268,4255,617
4255_4_1,4255_4,4255,4,1,1,2,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,268,4255,617
4255_7_1,4255_7,4255,7,1,1,2,NA,3,4,NA,1,2,NA,NA,NA,NA,NA,NA,16,4,268,4255,617
4255_17_1,4255_17,4255,17,1,1,1,NA,3,2,NA,5,NA,5,7,NA,3,2,8,16,4,268,4255,617
4255_18_2,4255_18,4255,18,2,1,2,NA,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,16,4,268,4255,617
4256_8_1,4256_8,4256,8,1,1,1,2,4,4,NA,3,1,1,6,NA,1,2,1,16,4,267,4256,357
4256_11_1,4256_11,4256,11,1,1,1,NA,3,4,NA,6,1,9,NA,NA,1,1,NA,16,4,267,4256,357
4256_18_1,4256_18,4256,18,1,1,1,NA,3,4,NA,5,1,1,NA,NA,1,2,1,16,4,267,4256,357
4257_8_2,4257_8,4257,8,2,1,2,NA,3,4,NA,1,1,1,NA,NA,1,2,5,16,4,267,4257,558
4259_8_1,4259_8,4259,8,1,1,3,NA,2,4,NA,5,1,7,NA,NA,1,2,1,16,4,267,4259,770
4259_11_2,4259_11,4259,11,2,1,1,NA,3,4,NA,5,1,1,NA,NA,1,2,1,16,4,267,4259,770
4259_16_1,4259_16,4259,16,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,267,4259,770
4260_4_1,4260_4,4260,4,1,1,1,NA,3,2,NA,5,NA,1,NA,NA,1,2,1,16,4,267,4260,362
4260_7_2,4260_7,4260,7,2,1,1,NA,4,4,NA,5,1,1,6,NA,1,2,1,16,4,267,4260,362
4260_8_1,4260_8,4260,8,1,1,3,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,267,4260,362
4260_9_2,4260_9,4260,9,2,1,1,NA,2,4,NA,5,1,1,NA,NA,1,2,6,16,4,267,4260,362
4260_12_1,4260_12,4260,12,1,1,1,NA,3,4,NA,5,1,1,NA,NA,1,2,1,16,4,267,4260,362
4260_19_1,4260_19,4260,19,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,267,4260,362
4261_2_1,4261_2,4261,2,1,1,4,NA,2,4,NA,1,2,NA,NA,NA,NA,NA,NA,16,4,267,4261,855
4261_6_1,4261_6,4261,6,1,1,2,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,16,4,267,4261,855
4261_7_1,4261_7,4261,7,1,1,1,2,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,267,4261,855
4263_1_2,4263_1,4263,1,2,1,1,NA,3,3,NA,5,NA,1,NA,NA,3,2,9,16,4,267,4263,472
4263_4_1,4263_4,4263,4,1,1,6,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,16,4,267,4263,472
4263_5_2,4263_5,4263,5,2,1,2,NA,3,4,NA,7,1,4,NA,NA,3,1,NA,16,4,267,4263,472
4264_12_1,4264_12,4264,12,1,1,2,NA,2,4,NA,5,1,1,NA,NA,1,1,NA,16,4,268,4264,532
4265_2_1,4265_2,4265,2,1,1,3,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,16,4,267,4265,637
4266_1_1,4266_1,4266,1,1,1,1,NA,1,4,NA,8,1,1,NA,NA,1,1,NA,16,4,268,4266,1054
4266_2_1,4266_2,4266,2,1,1,1,NA,3,2,NA,1,NA,2,NA,NA,3,2,1,16,4,268,4266,1054
4266_4_1,4266_4,4266,4,1,1,1,NA,2,2,NA,1,NA,2,NA,NA,4,1,NA,16,4,268,4266,1054
4266_8_1,4266_8,4266,8,1,1,2,NA,2,4,NA,1,1,2,NA,NA,2,2,1,16,4,268,4266,1054
4266_17_1,4266_17,4266,17,1,1,3,4,1,3,NA,5,NA,1,NA,NA,2,1,NA,16,4,268,4266,1054
4266_17_1,4266_17,4266,17,1,2,4,NA,1,3,NA,5,NA,1,NA,NA,2,1,NA,16,4,268,4266,1054
4267_1_1,4267_1,4267,1,1,1,5,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,268,4267,832
4267_2_1,4267_2,4267,2,1,1,1,2,3,4,NA,5,1,1,2,NA,2,1,NA,16,4,268,4267,832
4267_9_1,4267_9,4267,9,1,1,4,NA,2,3,NA,5,NA,1,NA,NA,1,2,2,16,4,268,4267,832
4267_14_1,4267_14,4267,14,1,1,4,NA,2,3,NA,5,NA,2,NA,NA,9,2,9,16,4,268,4267,832
4269_14_1,4269_14,4269,14,1,1,3,NA,3,4,NA,5,1,1,NA,NA,2,2,2,16,4,267,4269,523
4269_21_1,4269_21,4269,21,1,1,2,NA,2,4,NA,7,1,1,6,NA,1,2,1,16,4,267,4269,523
4270_8_1,4270_8,4270,8,1,1,1,NA,3,4,NA,5,1,1,NA,NA,1,2,1,16,4,267,4270,555
4270_8_1,4270_8,4270,8,1,2,2,5,3,4,NA,5,1,1,NA,NA,1,2,1,16,4,267,4270,555
4270_8_1,4270_8,4270,8,1,3,4,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,267,4270,555
4270_8_1,4270_8,4270,8,1,4,6,NA,3,4,NA,5,1,1,NA,NA,1,2,1,16,4,267,4270,555
4270_11_1,4270_11,4270,11,1,1,2,NA,2,4,NA,5,1,1,NA,NA,2,1,NA,16,4,267,4270,555
4270_20_1,4270_20,4270,20,1,1,6,NA,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,16,4,267,4270,555
4271_1_1,4271_1,4271,1,1,1,3,NA,3,4,NA,5,1,1,NA,NA,2,2,1,16,4,267,4271,415
4272_2_1,4272_2,4272,2,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,267,4272,735
4272_4_1,4272_4,4272,4,1,1,1,NA,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,16,4,267,4272,735
4272_9_1,4272_9,4272,9,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,267,4272,735
4273_2_1,4273_2,4273,2,1,1,1,NA,4,4,NA,1,2,NA,NA,NA,NA,NA,NA,16,4,268,4273,931
4273_13_1,4273_13,4273,13,1,1,2,4,4,4,NA,5,1,1,NA,NA,2,1,NA,16,4,268,4273,931
4273_17_1,4273_17,4273,17,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,4,268,4273,931
4274_2_1,4274_2,4274,2,1,1,2,NA,2,4,NA,5,1,4,NA,NA,1,2,2,16,2,260,4274,368
4274_5_1,4274_5,4274,5,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,2,260,4274,368
4275_4_1,4275_4,4275,4,1,1,4,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,16,2,260,4275,1690
4276_4_1,4276_4,4276,4,1,1,2,NA,3,2,NA,4,NA,1,NA,NA,3,2,8,16,2,262,4276,706
4279_1_1,4279_1,4279,1,1,1,1,NA,3,4,NA,7,2,NA,NA,NA,NA,NA,NA,16,1,252,4279,984
4279_1_1,4279_1,4279,1,1,2,4,NA,3,4,NA,7,2,NA,NA,NA,NA,NA,NA,16,1,252,4279,984
4280_2_1,4280_2,4280,2,1,1,1,NA,2,2,NA,1,NA,1,NA,NA,4,2,2,16,1,252,4280,2253
4280_4_1,4280_4,4280,4,1,1,1,NA,2,4,NA,7,1,1,2,NA,2,2,3,16,1,252,4280,2253
4283_3_1,4283_3,4283,3,1,1,1,NA,2,4,NA,8,1,1,2,NA,1,2,1,16,3,264,4283,707
4284_4_1,4284_4,4284,4,1,1,2,1,4,4,NA,3,1,1,4,NA,3,2,8,16,3,264,4284,825
4284_5_2,4284_5,4284,5,2,1,1,NA,2,2,NA,2,NA,2,NA,NA,2,2,8,16,3,264,4284,825
4285_3_1,4285_3,4285,3,1,1,1,NA,3,3,NA,1,NA,2,NA,NA,2,1,NA,16,3,264,4285,648
4286_2_1,4286_2,4286,2,1,1,1,NA,3,2,NA,1,NA,2,6,7,3,2,3,16,3,264,4286,574
4286_4_1,4286_4,4286,4,1,1,3,NA,2,3,NA,5,NA,1,NA,NA,2,2,1,16,3,264,4286,574
4287_4_1,4287_4,4287,4,1,1,1,NA,1,4,NA,5,1,1,NA,NA,2,2,9,16,2,262,4287,633
4289_1_1,4289_1,4289,1,1,1,7,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,16,3,264,4289,350
4290_1_1,4290_1,4290,1,1,1,1,NA,2,4,NA,3,2,NA,NA,NA,NA,NA,NA,16,2,260,4290,1778
4291_4_1,4291_4,4291,4,1,1,2,1,4,4,NA,5,2,NA,NA,NA,NA,NA,NA,16,1,258,4291,2163
4293_2_1,4293_2,4293,2,1,1,2,NA,3,2,NA,5,NA,2,NA,NA,3,2,2,16,1,258,4293,1380
4294_4_1,4294_4,4294,4,1,1,3,NA,2,2,NA,5,NA,2,NA,NA,9,1,NA,17,1,278,4294,299
4295_3_1,4295_3,4295,3,1,1,1,NA,3,4,NA,5,1,1,NA,NA,9,2,1,17,1,279,4295,369
4295_4_1,4295_4,4295,4,1,1,2,NA,2,4,NA,5,1,1,2,NA,3,1,NA,17,1,279,4295,369
4297_2_1,4297_2,4297,2,1,1,1,NA,2,4,NA,3,1,1,7,NA,9,2,1,17,1,279,4297,286
4297_2_2,4297_2,4297,2,2,1,1,NA,2,4,NA,5,1,1,NA,NA,9,2,1,17,1,279,4297,286
4297_3_1,4297_3,4297,3,1,1,1,2,3,4,NA,3,1,4,7,NA,2,2,1,17,1,279,4297,286
4298_3_1,4298_3,4298,3,1,1,1,NA,2,2,NA,5,NA,2,NA,NA,2,2,1,17,1,278,4298,360
4298_4_1,4298_4,4298,4,1,1,2,NA,2,4,NA,3,1,4,NA,NA,1,1,NA,17,1,278,4298,360
4299_1_1,4299_1,4299,1,1,1,1,NA,1,4,NA,5,1,4,NA,NA,9,2,8,17,1,278,4299,301
4299_2_1,4299_2,4299,2,1,1,4,3,2,4,NA,3,1,4,NA,NA,1,1,NA,17,1,278,4299,301
4299_4_1,4299_4,4299,4,1,1,1,NA,3,3,NA,5,NA,1,NA,NA,1,2,1,17,1,278,4299,301
4299_5_1,4299_5,4299,5,1,1,2,NA,3,4,NA,5,1,1,NA,NA,1,2,1,17,1,278,4299,301
4301_2_1,4301_2,4301,2,1,1,4,7,3,2,NA,1,NA,3,NA,NA,3,2,1,17,1,278,4301,234
4301_2_1,4301_2,4301,2,1,2,7,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,278,4301,234
4302_1_1,4302_1,4302,1,1,1,2,NA,3,4,NA,3,1,4,NA,NA,1,2,1,17,1,278,4302,301
4303_1_1,4303_1,4303,1,1,1,3,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,278,4303,181
4304_2_1,4304_2,4304,2,1,1,1,NA,4,4,NA,5,1,1,6,NA,1,1,NA,17,1,278,4304,240
4304_3_1,4304_3,4304,3,1,1,2,NA,4,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,278,4304,240
4304_4_1,4304_4,4304,4,1,1,1,NA,3,2,NA,5,NA,1,6,NA,1,2,1,17,1,278,4304,240
4304_5_1,4304_5,4304,5,1,1,3,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,278,4304,240
4306_5_1,4306_5,4306,5,1,1,1,NA,4,4,NA,1,1,1,NA,NA,4,1,NA,17,1,278,4306,401
4307_1_1,4307_1,4307,1,1,1,1,NA,3,4,NA,5,1,1,NA,NA,9,1,NA,17,1,279,4307,247
4308_3_1,4308_3,4308,3,1,1,9,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,279,4308,169
4309_5_1,4309_5,4309,5,1,1,1,NA,3,2,NA,8,NA,5,NA,NA,9,2,3,17,1,279,4309,211
4310_2_1,4310_2,4310,2,1,1,2,1,2,3,NA,5,NA,3,NA,NA,3,1,NA,17,1,278,4310,310
4312_2_1,4312_2,4312,2,1,1,2,NA,2,2,NA,5,NA,1,NA,NA,3,2,9,17,1,279,4312,287
4312_4_1,4312_4,4312,4,1,1,4,NA,2,2,NA,2,NA,2,NA,NA,2,2,9,17,1,279,4312,287
4312_5_1,4312_5,4312,5,1,1,2,NA,2,2,NA,5,NA,9,NA,NA,9,2,9,17,1,279,4312,287
4313_1_1,4313_1,4313,1,1,1,3,NA,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,17,1,278,4313,251
4313_3_1,4313_3,4313,3,1,1,1,NA,5,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,278,4313,251
4314_1_1,4314_1,4314,1,1,1,1,NA,4,4,NA,3,1,1,NA,NA,2,1,NA,17,1,278,4314,294
4314_2_1,4314_2,4314,2,1,1,2,NA,2,4,NA,5,1,1,NA,NA,1,2,8,17,1,278,4314,294
4317_2_1,4317_2,4317,2,1,1,1,NA,3,4,NA,3,1,1,NA,NA,1,2,2,17,1,278,4317,255
4317_3_1,4317_3,4317,3,1,1,2,NA,3,2,NA,5,NA,6,NA,NA,2,2,1,17,1,278,4317,255
4317_4_1,4317_4,4317,4,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,278,4317,255
4318_2_1,4318_2,4318,2,1,1,2,NA,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,17,1,278,4318,280
4319_5_2,4319_5,4319,5,2,1,1,NA,6,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,278,4319,225
4319_5_3,4319_5,4319,5,3,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,278,4319,225
4320_4_1,4320_4,4320,4,1,1,1,2,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,279,4320,352
4320_5_1,4320_5,4320,5,1,1,1,NA,1,4,NA,7,2,NA,NA,NA,NA,NA,NA,17,1,279,4320,352
4321_1_1,4321_1,4321,1,1,1,3,NA,3,2,NA,5,NA,2,NA,NA,9,2,1,17,1,278,4321,184
4321_3_1,4321_3,4321,3,1,1,3,NA,2,4,NA,5,1,2,NA,NA,1,1,NA,17,1,278,4321,184
4321_3_1,4321_3,4321,3,1,2,4,NA,2,4,NA,5,1,2,NA,NA,1,1,NA,17,1,278,4321,184
4322_1_1,4322_1,4322,1,1,1,2,NA,3,4,NA,5,1,1,NA,NA,2,2,1,17,1,278,4322,243
4322_1_1,4322_1,4322,1,1,2,4,NA,4,4,NA,5,1,1,NA,NA,2,2,2,17,1,278,4322,243
4322_2_1,4322_2,4322,2,1,1,1,NA,2,4,NA,5,1,1,NA,NA,1,2,1,17,1,278,4322,243
4322_4_1,4322_4,4322,4,1,1,5,NA,4,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,278,4322,243
4323_2_1,4323_2,4323,2,1,1,3,NA,1,4,NA,5,1,1,NA,NA,1,1,NA,17,1,278,4323,383
4323_3_1,4323_3,4323,3,1,1,4,NA,3,4,NA,5,1,1,NA,NA,1,1,NA,17,1,278,4323,383
4324_1_1,4324_1,4324,1,1,1,1,NA,1,4,NA,5,1,1,NA,NA,2,2,1,17,1,278,4324,433
4326_4_1,4326_4,4326,4,1,1,1,NA,2,4,NA,5,1,2,NA,NA,2,2,1,17,1,278,4326,158
4326_5_2,4326_5,4326,5,2,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,278,4326,158
4329_1_1,4329_1,4329,1,1,1,2,NA,3,3,NA,1,NA,2,NA,NA,3,2,3,17,1,269,4329,366
4329_5_1,4329_5,4329,5,1,1,3,NA,2,4,NA,3,1,1,NA,NA,2,2,3,17,1,269,4329,366
4330_3_1,4330_3,4330,3,1,1,3,2,3,3,NA,5,NA,2,NA,NA,2,1,NA,17,1,271,4330,231
4331_5_1,4331_5,4331,5,1,1,1,2,3,4,NA,3,2,NA,NA,NA,NA,NA,NA,17,1,269,4331,231
4333_2_1,4333_2,4333,2,1,1,2,NA,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,271,4333,171
4337_1_1,4337_1,4337,1,1,1,1,2,3,4,NA,8,1,1,4,NA,1,2,1,17,1,270,4337,183
4340_1_1,4340_1,4340,1,1,1,1,NA,3,2,NA,5,NA,1,NA,NA,9,2,8,17,1,270,4340,369
4340_5_1,4340_5,4340,5,1,1,1,NA,2,4,NA,3,1,1,NA,NA,4,2,1,17,1,270,4340,369
4342_2_1,4342_2,4342,2,1,1,1,NA,3,2,NA,1,NA,1,NA,NA,6,1,NA,17,1,270,4342,227
4342_5_1,4342_5,4342,5,1,1,2,NA,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,17,1,270,4342,227
4345_2_1,4345_2,4345,2,1,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,270,4345,343
4347_4_1,4347_4,4347,4,1,1,2,NA,2,4,NA,5,1,6,NA,NA,1,2,1,17,1,269,4347,242
4348_3_1,4348_3,4348,3,1,1,4,NA,2,4,NA,5,1,1,NA,NA,1,2,2,17,1,269,4348,349
4348_4_1,4348_4,4348,4,1,1,3,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,269,4348,349
4350_5_1,4350_5,4350,5,1,1,1,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,269,4350,277
4352_1_1,4352_1,4352,1,1,1,1,2,2,4,NA,1,1,1,NA,NA,3,1,NA,17,1,269,4352,337
4355_4_1,4355_4,4355,4,1,1,1,NA,3,2,NA,5,NA,4,NA,NA,3,1,NA,17,1,269,4355,528
4365_3_1,4365_3,4365,3,1,1,1,NA,4,4,NA,7,1,1,5,NA,4,2,2,17,1,271,4365,273
4365_4_1,4365_4,4365,4,1,1,3,NA,2,2,NA,5,NA,1,4,NA,2,2,2,17,1,271,4365,273
4366_2_1,4366_2,4366,2,1,1,1,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,269,4366,320
4368_4_1,4368_4,4368,4,1,1,2,NA,4,4,NA,5,1,4,NA,NA,2,2,1,17,1,270,4368,258
4373_2_1,4373_2,4373,2,1,1,2,1,2,2,NA,5,NA,2,NA,NA,3,1,NA,17,1,269,4373,337
4374_1_2,4374_1,4374,1,2,1,4,NA,4,4,NA,1,1,1,2,NA,3,2,1,17,1,269,4374,216
4374_4_1,4374_4,4374,4,1,1,2,NA,2,4,NA,7,1,1,NA,NA,2,2,3,17,1,269,4374,216
4375_1_1,4375_1,4375,1,1,1,1,2,3,2,NA,8,NA,1,NA,NA,3,2,1,17,1,269,4375,352
4375_2_1,4375_2,4375,2,1,1,3,NA,3,2,NA,5,NA,1,4,NA,2,1,NA,17,1,269,4375,352
4375_4_1,4375_4,4375,4,1,1,2,3,3,2,NA,5,NA,1,NA,NA,5,2,1,17,1,269,4375,352
4375_4_1,4375_4,4375,4,1,2,3,4,3,2,NA,5,NA,1,NA,NA,5,2,1,17,1,269,4375,352
4375_4_1,4375_4,4375,4,1,3,4,NA,3,2,NA,5,NA,1,NA,NA,5,2,8,17,1,269,4375,352
4375_5_1,4375_5,4375,5,1,1,1,NA,2,4,NA,5,1,1,NA,NA,1,2,9,17,1,269,4375,352
4376_3_1,4376_3,4376,3,1,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,17,1,270,4376,353
4377_3_1,4377_3,4377,3,1,1,1,2,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,270,4377,448
4377_4_1,4377_4,4377,4,1,1,1,NA,3,4,NA,1,2,NA,NA,NA,NA,NA,NA,17,1,270,4377,448
4379_2_1,4379_2,4379,2,1,1,1,NA,2,2,NA,2,NA,2,NA,NA,2,2,1,17,1,271,4379,482
4380_1_1,4380_1,4380,1,1,1,1,3,3,2,NA,8,NA,2,NA,NA,3,2,9,17,1,270,4380,313
4380_4_1,4380_4,4380,4,1,1,2,1,3,2,NA,5,NA,2,3,NA,3,2,1,17,1,270,4380,313
4380_4_2,4380_4,4380,4,2,1,1,NA,3,2,NA,5,NA,2,NA,NA,4,2,1,17,1,270,4380,313
4380_5_1,4380_5,4380,5,1,1,1,2,3,4,NA,1,2,NA,NA,NA,NA,NA,NA,17,1,270,4380,313
4381_4_1,4381_4,4381,4,1,1,3,4,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,17,1,269,4381,412
4384_3_1,4384_3,4384,3,1,1,1,2,2,3,NA,5,NA,1,NA,NA,2,1,NA,17,1,269,4384,228
4386_5_2,4386_5,4386,5,2,1,1,2,2,3,NA,5,NA,1,NA,NA,2,2,8,17,1,271,4386,281
4387_1_1,4387_1,4387,1,1,1,2,3,3,2,NA,5,NA,3,NA,NA,3,1,NA,17,1,270,4387,337
4389_3_1,4389_3,4389,3,1,1,1,NA,2,2,NA,8,NA,2,NA,NA,3,2,1,17,1,270,4389,352
4389_4_1,4389_4,4389,4,1,1,2,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,270,4389,352
4390_4_1,4390_4,4390,4,1,1,1,NA,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,269,4390,408
4392_1_1,4392_1,4392,1,1,1,1,2,4,2,NA,2,NA,2,3,NA,3,2,1,17,1,270,4392,239
4393_1_1,4393_1,4393,1,1,1,1,2,2,2,NA,5,NA,2,NA,NA,3,1,NA,17,1,269,4393,278
4393_2_1,4393_2,4393,2,1,1,3,NA,2,2,NA,5,NA,2,NA,NA,2,2,1,17,1,269,4393,278
4393_5_1,4393_5,4393,5,1,1,2,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,17,1,269,4393,278
4394_5_1,4394_5,4394,5,1,1,1,NA,3,3,NA,2,NA,2,NA,NA,9,2,1,17,1,271,4394,393
4399_2_1,4399_2,4399,2,1,1,3,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,17,1,269,4399,329
4399_2_1,4399_2,4399,2,1,2,4,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,17,1,269,4399,329
4400_1_1,4400_1,4400,1,1,1,1,NA,4,4,NA,1,1,1,NA,NA,1,2,2,17,1,269,4400,293
4400_3_1,4400_3,4400,3,1,1,1,NA,4,4,NA,1,2,NA,NA,NA,NA,NA,NA,17,1,269,4400,293
4400_5_1,4400_5,4400,5,1,1,1,2,3,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,269,4400,293
4401_3_1,4401_3,4401,3,1,1,1,NA,1,4,NA,3,2,NA,NA,NA,NA,NA,NA,17,1,270,4401,408
4404_1_1,4404_1,4404,1,1,1,1,NA,4,2,NA,2,NA,2,NA,NA,2,2,1,17,1,270,4404,328
4404_4_1,4404_4,4404,4,1,1,2,NA,3,2,NA,5,NA,5,NA,NA,4,2,1,17,1,270,4404,328
4405_5_1,4405_5,4405,5,1,1,1,2,4,2,NA,5,NA,1,NA,NA,2,2,1,17,1,270,4405,314
4406_1_1,4406_1,4406,1,1,1,3,NA,4,2,NA,5,NA,1,NA,NA,2,2,1,17,1,270,4406,296
4407_1_1,4407_1,4407,1,1,1,1,NA,3,4,NA,1,1,1,NA,NA,2,2,1,17,1,269,4407,280
4408_5_1,4408_5,4408,5,1,1,1,NA,3,2,NA,5,NA,3,NA,NA,3,2,1,17,1,270,4408,249
4409_4_1,4409_4,4409,4,1,1,1,2,3,1,5,NA,NA,NA,NA,NA,NA,NA,NA,17,1,270,4409,346
4411_3_1,4411_3,4411,3,1,1,1,NA,2,2,NA,5,NA,1,NA,NA,1,2,2,17,1,269,4411,420
4412_1_1,4412_1,4412,1,1,1,2,NA,3,2,NA,5,NA,2,NA,NA,2,2,1,17,1,270,4412,301
4412_5_1,4412_5,4412,5,1,1,3,NA,3,4,NA,5,1,1,7,NA,1,1,NA,17,1,270,4412,301
4414_5_1,4414_5,4414,5,1,1,4,NA,2,4,NA,7,2,NA,NA,NA,NA,NA,NA,17,1,270,4414,249
4415_3_1,4415_3,4415,3,1,1,4,NA,2,4,NA,5,2,NA,NA,NA,NA,NA,NA,17,1,269,4415,418
4415_5_1,4415_5,4415,5,1,1,1,2,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,17,1,269,4415,418
4417_4_1,4417_4,4417,4,1,1,5,NA,2,4,NA,5,1,2,NA,NA,9,1,NA,17,1,270,4417,224
4417_5_1,4417_5,4417,5,1,1,3,NA,3,2,NA,5,NA,2,NA,NA,9,2,9,17,1,270,4417,224
4417_5_1,4417_5,4417,5,1,2,4,NA,3,2,NA,1,NA,2,NA,NA,9,9,NA,17,1,270,4417,224
