"","vid","ingreso_viv","P5_2","prop_gasto","indice_aseq"
"244","1044_10",7200,NA,NA,NA
"245","1044_13",NA,0,NA,NA
"246","1044_14",NA,0,NA,NA
"247","1044_15",NA,2000,NA,NA
"248","1044_16",16000,NA,NA,NA
"249","1044_17",NA,NA,NA,NA
"250","1044_18",NA,0,NA,NA
"251","1044_19",4800,0,0,2
"252","1044_2",4800,NA,NA,NA
"253","1044_20",NA,NA,NA,NA
"254","1044_3",NA,NA,NA,NA
"255","1044_4",NA,NA,NA,NA
"256","1044_5",8000,1000,0.125,2
"257","1044_6",6000,NA,NA,NA
"258","1044_7",6600,NA,NA,NA
"259","1044_8",NA,NA,NA,NA
"260","1044_9",37200,NA,NA,NA
"261","1045_10",4400,NA,NA,NA
"262","1045_11",18000,NA,NA,NA
"263","1045_12",4000,0,0,2
"264","1045_13",13780,NA,NA,NA
"265","1045_14",NA,0,NA,NA
"266","1045_15",16000,1800,0.1125,2
"267","1045_16",7200,0,0,2
"268","1045_17",14400,3600,0.25,2
"269","1045_18",15200,2200,0.144736842105263,2
"270","1045_19",6000,NA,NA,NA
"271","1045_2",NA,NA,NA,NA
"272","1045_20",3600,1200,0.333333333333333,1
"273","1045_5",4400,NA,NA,NA
"274","1045_8",10760,NA,NA,NA
"275","1045_9",8000,NA,NA,NA
"276","1046_1",6200,NA,NA,NA
"277","1046_10",9920,1000,0.100806451612903,2
"278","1046_11",11000,NA,NA,NA
"279","1046_12",8000,NA,NA,NA
"280","1046_13",15000,0,0,2
"281","1046_14",15000,NA,NA,NA
"282","1046_16",5400,1200,0.222222222222222,2
"283","1046_17",14400,NA,NA,NA
"284","1046_18",3600,NA,NA,NA
"285","1046_2",46000,0,0,2
"286","1046_20",3600,1400,0.388888888888889,1
"287","1046_3",6800,NA,NA,NA
"288","1046_4",20000,NA,NA,NA
"289","1046_5",4000,NA,NA,NA
"290","1046_6",18000,NA,NA,NA
"291","1046_7",27000,1500,0.0555555555555556,2
"292","1046_8",7600,0,0,2
"293","1046_9",10000,800,0.08,2
"294","1047_10",9000,NA,NA,NA
"295","1047_11",9800,NA,NA,NA
"296","1047_12",8400,NA,NA,NA
"297","1047_13",13200,NA,NA,NA
"298","1047_14",9200,NA,NA,NA
"299","1047_15",1800,0,0,2
"300","1047_16",6000,NA,NA,NA
"301","1047_19",13200,NA,NA,NA
"302","1047_2",6400,800,0.125,2
"303","1047_20",6400,NA,NA,NA
"304","1047_3",14400,NA,NA,NA
"305","1047_4",600,NA,NA,NA
"306","1047_5",3200,NA,NA,NA
"307","1047_6",10400,NA,NA,NA
"308","1047_7",4400,NA,NA,NA
"309","1047_8",NA,500,NA,NA
"310","1047_9",6000,NA,NA,NA
"311","1048_1",4800,NA,NA,NA
"312","1048_10",15600,NA,NA,NA
"313","1048_11",7000,1000,0.142857142857143,2
"314","1048_12",8600,0,0,2
"315","1048_13",3600,NA,NA,NA
"316","1048_14",NA,NA,NA,NA
"317","1048_15",3360,0,0,2
"318","1048_16",2400,1300,0.541666666666667,1
"319","1048_17",4000,NA,NA,NA
"320","1048_18",10000,NA,NA,NA
"321","1048_19",9200,700,0.0760869565217391,2
"322","1048_2",5800,NA,NA,NA
"323","1048_20",3600,NA,NA,NA
"324","1048_3",14720,NA,NA,NA
"325","1048_4",3000,0,0,2
"326","1048_5",10200,NA,NA,NA
"327","1048_6",10800,NA,NA,NA
"328","1048_7",16600,NA,NA,NA
"329","1048_8",5600,0,0,2
"330","1048_9",8000,NA,NA,NA
"331","1049_11",NA,NA,NA,NA
"332","1049_12",5800,NA,NA,NA
"333","1049_13",11000,NA,NA,NA
"334","1049_14",NA,NA,NA,NA
"335","1049_15",18000,NA,NA,NA
"336","1049_16",NA,NA,NA,NA
"337","1049_17",NA,NA,NA,NA
"338","1049_18",NA,NA,NA,NA
"339","1049_19",16000,NA,NA,NA
"340","1049_20",NA,NA,NA,NA
"341","1049_3",12000,NA,NA,NA
"342","1049_4",18000,NA,NA,NA
"343","1049_5",18000,NA,NA,NA
"344","1049_6",8000,1000,0.125,2
"345","1049_7",2600,0,0,2
"346","1049_8",16000,NA,NA,NA
"347","1049_9",10400,NA,NA,NA
"348","105_1",NA,0,NA,NA
"349","105_2",NA,NA,NA,NA
"350","105_3",NA,1500,NA,NA
"351","105_4",800,1200,1.5,1
"352","105_5",5600,NA,NA,NA
"353","1050_1",29200,NA,NA,NA
"354","1050_10",12800,NA,NA,NA
"355","1050_11",NA,NA,NA,NA
"356","1050_12",NA,NA,NA,NA
"357","1050_13",NA,NA,NA,NA
"358","1050_14",5200,NA,NA,NA
"359","1050_15",6000,NA,NA,NA
"360","1050_16",NA,NA,NA,NA
"361","1050_17",10000,1500,0.15,2
"362","1050_19",NA,NA,NA,NA
"363","1050_20",NA,NA,NA,NA
"364","1050_4",NA,NA,NA,NA
"365","1050_5",NA,NA,NA,NA
"366","1050_6",NA,0,NA,NA
"367","1050_7",9000,NA,NA,NA
"368","1050_9",4000,NA,NA,NA
"369","1051_1",2400,NA,NA,NA
"370","1051_10",4000,NA,NA,NA
"371","1051_11",6800,NA,NA,NA
"372","1051_12",4000,NA,NA,NA
"373","1051_13",4000,NA,NA,NA
"374","1051_14",2400,NA,NA,NA
"375","1051_15",1200,NA,NA,NA
"376","1051_16",2000,NA,NA,NA
"377","1051_17",NA,NA,NA,NA
"378","1051_18",NA,NA,NA,NA
"379","1051_19",1600,NA,NA,NA
"380","1051_2",2800,NA,NA,NA
"381","1051_20",4400,NA,NA,NA
"382","1051_3",3000,NA,NA,NA
"383","1051_4",7000,NA,NA,NA
"384","1051_5",3200,NA,NA,NA
"385","1051_6",200,NA,NA,NA
"386","1051_7",6000,NA,NA,NA
"387","1051_8",NA,NA,NA,NA
"388","1051_9",5200,NA,NA,NA
"389","1052_1",5600,0,0,2
"390","1052_10",2680,NA,NA,NA
"391","1052_11",3600,NA,NA,NA
"392","1052_13",14000,NA,NA,NA
"393","1052_14",9000,7200,0.8,1
"394","1052_15",10000,NA,NA,NA
"395","1052_16",7200,NA,NA,NA
"396","1052_17",2000,NA,NA,NA
"397","1052_18",6000,NA,NA,NA
"398","1052_19",3200,NA,NA,NA
"399","1052_2",NA,NA,NA,NA
"400","1052_3",2000,NA,NA,NA
"401","1052_4",6000,NA,NA,NA
"402","1052_5",6400,NA,NA,NA
"403","1052_6",1200,500,0.416666666666667,1
"404","1052_8",3600,NA,NA,NA
"405","1052_9",NA,NA,NA,NA
"406","1053_1",5600,850,0.151785714285714,2
"407","1053_10",NA,NA,NA,NA
"408","1053_11",24000,NA,NA,NA
"409","1053_13",6400,NA,NA,NA
"410","1053_15",1200,NA,NA,NA
"411","1053_16",4000,0,0,2
"412","1053_17",10000,NA,NA,NA
"413","1053_18",NA,NA,NA,NA
"414","1053_19",2400,NA,NA,NA
"415","1053_2",9000,0,0,2
"416","1053_20",9360,NA,NA,NA
"417","1053_3",6000,0,0,2
"418","1053_4",15600,NA,NA,NA
"419","1053_5",27000,NA,NA,NA
"420","1053_6",22200,NA,NA,NA
"421","1053_7",34000,NA,NA,NA
"422","1053_8",NA,NA,NA,NA
"423","1053_9",1200,NA,NA,NA
"424","1054_1",12500,NA,NA,NA
"425","1054_10",NA,NA,NA,NA
"426","1054_11",NA,NA,NA,NA
"427","1054_12",2400,NA,NA,NA
"428","1054_13",2400,NA,NA,NA
"429","1054_14",NA,NA,NA,NA
"430","1054_15",14000,NA,NA,NA
"431","1054_16",13000,NA,NA,NA
"432","1054_17",NA,NA,NA,NA
"433","1054_18",NA,NA,NA,NA
"434","1054_19",4000,NA,NA,NA
"435","1054_2",3200,NA,NA,NA
"436","1054_20",5400,NA,NA,NA
"437","1054_3",12000,NA,NA,NA
"438","1054_4",NA,0,NA,NA
"439","1054_5",NA,NA,NA,NA
"440","1054_6",NA,NA,NA,NA
"441","1054_7",9400,NA,NA,NA
"442","1054_8",NA,0,NA,NA
"443","1054_9",5200,NA,NA,NA
"444","1055_1",NA,NA,NA,NA
"445","1055_2",NA,NA,NA,NA
"446","1055_3",NA,NA,NA,NA
"447","1055_4",8000,NA,NA,NA
"448","1055_5",7600,NA,NA,NA
"449","1056_1",NA,NA,NA,NA
"450","1056_3",3000,NA,NA,NA
"451","1056_4",NA,NA,NA,NA
"452","1056_5",7400,NA,NA,NA
"453","1057_1",3200,NA,NA,NA
"454","1057_2",7200,NA,NA,NA
"455","1057_3",2000,NA,NA,NA
"456","1057_4",NA,NA,NA,NA
"457","1057_5",22500,NA,NA,NA
"458","1058_1",NA,NA,NA,NA
"459","1058_3",5000,NA,NA,NA
"460","1058_4",14000,NA,NA,NA
"461","1058_5",3200,NA,NA,NA
"462","1059_1",4000,0,0,2
"463","1059_10",3200,NA,NA,NA
"464","1059_11",8000,NA,NA,NA
"465","1059_12",1600,NA,NA,NA
"466","1059_14",1200,NA,NA,NA
"467","1059_15",4400,8500,1.93181818181818,1
"468","1059_16",NA,NA,NA,NA
"469","1059_17",10000,NA,NA,NA
"470","1059_19",1500,NA,NA,NA
"471","1059_2",NA,500,NA,NA
"472","1059_20",4000,NA,NA,NA
"473","1059_3",12000,NA,NA,NA
"474","1059_4",NA,NA,NA,NA
"475","1059_5",15600,NA,NA,NA
"476","1059_6",6000,NA,NA,NA
"477","1059_7",14000,0,0,2
"478","1059_8",6000,NA,NA,NA
"479","1059_9",25600,NA,NA,NA
"480","106_1",5200,0,0,2
"481","106_2",NA,NA,NA,NA
"482","106_4",12000,1300,0.108333333333333,2
"483","106_5",NA,NA,NA,NA
"484","1060_1",800,0,0,2
"485","1060_10",6000,NA,NA,NA
"486","1060_11",4200,NA,NA,NA
"487","1060_12",4800,NA,NA,NA
"488","1060_13",NA,NA,NA,NA
"489","1060_14",9200,1200,0.130434782608696,2
"490","1060_15",22000,NA,NA,NA
"491","1060_16",NA,NA,NA,NA
"492","1060_17",5800,NA,NA,NA
"493","1060_18",1200,NA,NA,NA
"494","1060_2",24000,NA,NA,NA
"495","1060_20",4000,NA,NA,NA
"496","1060_3",4000,NA,NA,NA
"497","1060_4",3600,0,0,2
"498","1060_5",NA,NA,NA,NA
"499","1060_6",NA,NA,NA,NA
"500","1060_8",NA,NA,NA,NA
"501","1060_9",4000,NA,NA,NA
"502","1061_1",800,0,0,2
"503","1061_10",5400,1500,0.277777777777778,2
"504","1061_12",4800,NA,NA,NA
"505","1061_13",5200,NA,NA,NA
"506","1061_16",NA,0,NA,NA
"507","1061_17",1200,NA,NA,NA
"508","1061_18",7400,0,0,2
"509","1061_19",6000,2000,0.333333333333333,1
"510","1061_20",2400,NA,NA,NA
"511","1061_3",1e+05,1200,0.012,2
"512","1061_4",4000,0,0,2
"513","1061_5",6000,800,0.133333333333333,2
"514","1061_6",8000,1000,0.125,2
"515","1061_7",4800,0,0,2
"516","1061_8",6800,0,0,2
"517","1061_9",10000,NA,NA,NA
"518","1062_1",NA,NA,NA,NA
"519","1062_10",3600,NA,NA,NA
"520","1062_11",8000,NA,NA,NA
"521","1062_12",6800,NA,NA,NA
"522","1062_13",2400,NA,NA,NA
"523","1062_14",7000,NA,NA,NA
"524","1062_15",2000,800,0.4,1
"525","1062_16",3000,NA,NA,NA
"526","1062_17",7200,NA,NA,NA
"527","1062_18",4000,0,0,2
"528","1062_19",36000,NA,NA,NA
"529","1062_2",4000,0,0,2
"530","1062_20",7200,NA,NA,NA
"531","1062_3",5000,700,0.14,2
"532","1062_5",4800,NA,NA,NA
"533","1062_6",2000,NA,NA,NA
"534","1062_7",NA,NA,NA,NA
"535","1062_8",7200,NA,NA,NA
"536","1062_9",4800,NA,NA,NA
"537","1063_1",6400,NA,NA,NA
"538","1063_10",NA,NA,NA,NA
"539","1063_11",4000,NA,NA,NA
"540","1063_12",1200,NA,NA,NA
"541","1063_13",NA,NA,NA,NA
"542","1063_15",13000,NA,NA,NA
"543","1063_16",2000,NA,NA,NA
"544","1063_17",5600,NA,NA,NA
"545","1063_18",8500,NA,NA,NA
"546","1063_19",3200,NA,NA,NA
"547","1063_2",2000,NA,NA,NA
"548","1063_20",4000,2000,0.5,1
"549","1063_3",3000,NA,NA,NA
"550","1063_4",15600,NA,NA,NA
"551","1063_5",7600,NA,NA,NA
"552","1063_6",4000,0,0,2
"553","1063_7",1800,0,0,2
"554","1063_8",4400,NA,NA,NA
"555","1063_9",12000,500,0.0416666666666667,2
"556","1064_1",5600,NA,NA,NA
"557","1064_10",NA,NA,NA,NA
"558","1064_11",NA,NA,NA,NA
"559","1064_12",3200,NA,NA,NA
"560","1064_13",8800,NA,NA,NA
"561","1064_15",8000,0,0,2
"562","1064_17",NA,0,NA,NA
"563","1064_19",5200,0,0,2
"564","1064_2",5400,500,0.0925925925925926,2
"565","1064_5",8000,NA,NA,NA
"566","1064_8",3600,NA,NA,NA
"567","1064_9",10200,NA,NA,NA
"568","1065_11",3200,NA,NA,NA
"569","1065_12",3600,600,0.166666666666667,2
"570","1065_13",NA,NA,NA,NA
"571","1065_14",15950,NA,NA,NA
"572","1065_15",4000,NA,NA,NA
"573","1065_16",26800,NA,NA,NA
"574","1065_17",4720,NA,NA,NA
"575","1065_18",28600,NA,NA,NA
"576","1065_19",NA,NA,NA,NA
"577","1065_2",4000,NA,NA,NA
"578","1065_20",14400,0,0,2
"579","1065_3",NA,NA,NA,NA
"580","1065_5",NA,NA,NA,NA
"581","1065_6",2400,NA,NA,NA
"582","1065_7",4800,NA,NA,NA
"583","1065_8",2400,NA,NA,NA
"584","1065_9",4800,NA,NA,NA
"585","1066_1",2400,NA,NA,NA
"586","1066_10",NA,NA,NA,NA
"587","1066_12",4400,NA,NA,NA
"588","1066_13",4000,NA,NA,NA
"589","1066_14",3000,NA,NA,NA
"590","1066_16",2400,NA,NA,NA
"591","1066_17",3200,0,0,2
"592","1066_18",3000,NA,NA,NA
"593","1066_19",940,NA,NA,NA
"594","1066_2",6400,0,0,2
"595","1066_20",2000,NA,NA,NA
"596","1066_3",1200,NA,NA,NA
"597","1066_4",NA,NA,NA,NA
"598","1066_5",4800,NA,NA,NA
"599","1066_6",NA,NA,NA,NA
"600","1066_7",2400,NA,NA,NA
"601","1066_8",NA,NA,NA,NA
"602","1066_9",8333.33333333333,NA,NA,NA
"603","1067_1",4600,NA,NA,NA
"604","1067_10",3200,NA,NA,NA
"605","1067_11",NA,NA,NA,NA
"606","1067_12",1600,NA,NA,NA
"607","1067_13",4000,NA,NA,NA
"608","1067_14",3840,NA,NA,NA
"609","1067_15",9100,NA,NA,NA
"610","1067_16",4000,NA,NA,NA
"611","1067_17",1200,NA,NA,NA
"612","1067_18",2400,NA,NA,NA
"613","1067_19",2400,NA,NA,NA
"614","1067_2",NA,NA,NA,NA
"615","1067_20",4000,NA,NA,NA
"616","1067_3",3000,NA,NA,NA
"617","1067_4",3800,NA,NA,NA
"618","1067_5",6400,NA,NA,NA
"619","1067_6",NA,NA,NA,NA
"620","1067_7",2800,NA,NA,NA
"621","1067_8",NA,NA,NA,NA
"622","1067_9",4726.66666666667,NA,NA,NA
"623","1068_1",4000,NA,NA,NA
"624","1068_10",14200,3000,0.211267605633803,2
"625","1068_11",NA,NA,NA,NA
"626","1068_12",4000,NA,NA,NA
"627","1068_13",8000,NA,NA,NA
"628","1068_14",4800,NA,NA,NA
"629","1068_15",2000,NA,NA,NA
"630","1068_16",3600,NA,NA,NA
"631","1068_17",3600,NA,NA,NA
"632","1068_18",12400,NA,NA,NA
"633","1068_19",8000,NA,NA,NA
"634","1068_2",11000,NA,NA,NA
"635","1068_3",10000,NA,NA,NA
"636","1068_4",11000,NA,NA,NA
"637","1068_5",4000,NA,NA,NA
"638","1068_6",6000,NA,NA,NA
"639","1068_7",6400,NA,NA,NA
"640","1068_8",5200,NA,NA,NA
"641","1068_9",14000,NA,NA,NA
"642","1069_10",4000,1000,0.25,2
"643","1069_13",6000,NA,NA,NA
"644","1069_14",10600,0,0,2
"645","1069_15",NA,NA,NA,NA
"646","1069_16",8000,2000,0.25,2
"647","1069_17",3600,0,0,2
"648","1069_18",3200,NA,NA,NA
"649","1069_19",2000,2500,1.25,1
"650","1069_2",7200,600,0.0833333333333333,2
"651","1069_20",10000,NA,NA,NA
"652","1069_3",9600,NA,NA,NA
"653","1069_4",4800,NA,NA,NA
"654","1069_5",4000,NA,NA,NA
"655","1069_6",11400,NA,NA,NA
"656","1069_7",NA,NA,NA,NA
"657","1069_8",9600,NA,NA,NA
"658","1069_9",10400,0,0,2
"659","107_2",NA,1700,NA,NA
"660","107_4",NA,NA,NA,NA
"661","107_5",7000,NA,NA,NA
"662","1070_2",6000,5000,0.833333333333333,1
"663","1070_3",4000,0,0,2
"664","1070_4",21000,5000,0.238095238095238,2
"665","1070_5",30000,6500,0.216666666666667,2
"666","1071_2",NA,0,NA,NA
"667","1071_3",27000,5000,0.185185185185185,2
"668","1071_4",24000,NA,NA,NA
"669","1071_5",30000,12000,0.4,1
"670","1072_1",8000,500,0.0625,2
"671","1072_2",20000,NA,NA,NA
"672","1072_3",32000,NA,NA,NA
"673","1072_4",5000,1000,0.2,2
"674","1072_5",55000,NA,NA,NA
"675","1073_10",3200,NA,NA,NA
"676","1073_11",NA,NA,NA,NA
"677","1073_12",40000,NA,NA,NA
"678","1073_13",2800,NA,NA,NA
"679","1073_14",NA,500,NA,NA
"680","1073_15",2400,NA,NA,NA
"681","1073_16",NA,NA,NA,NA
"682","1073_17",NA,NA,NA,NA
"683","1073_18",NA,NA,NA,NA
"684","1073_2",2000,NA,NA,NA
"685","1073_20",4800,NA,NA,NA
"686","1073_3",9000,NA,NA,NA
"687","1073_4",3200,NA,NA,NA
"688","1073_5",5000,NA,NA,NA
"689","1073_6",NA,NA,NA,NA
"690","1073_7",2000,NA,NA,NA
"691","1073_9",2400,NA,NA,NA
"692","1074_1",4000,NA,NA,NA
"693","1074_11",NA,500,NA,NA
"694","1074_12",1200,NA,NA,NA
"695","1074_13",NA,NA,NA,NA
"696","1074_14",4000,NA,NA,NA
"697","1074_15",4000,NA,NA,NA
"698","1074_16",6400,NA,NA,NA
"699","1074_17",5000,0,0,2
"700","1074_18",3000,NA,NA,NA
"701","1074_19",1800,NA,NA,NA
"702","1074_2",4800,NA,NA,NA
"703","1074_20",4800,NA,NA,NA
"704","1074_4",6000,NA,NA,NA
"705","1074_5",13600,NA,NA,NA
"706","1074_6",4800,NA,NA,NA
"707","1074_7",4000,NA,NA,NA
"708","1074_9",2800,NA,NA,NA
"709","1075_1",6800,600,0.0882352941176471,2
"710","1075_10",5200,1800,0.346153846153846,1
"711","1075_11",NA,NA,NA,NA
"712","1075_12",4000,NA,NA,NA
"713","1075_13",NA,NA,NA,NA
"714","1075_14",10000,NA,NA,NA
"715","1075_15",8000,NA,NA,NA
"716","1075_16",1200,NA,NA,NA
"717","1075_18",8000,NA,NA,NA
"718","1075_19",2000,NA,NA,NA
"719","1075_2",2000,NA,NA,NA
"720","1075_20",3600,NA,NA,NA
"721","1075_3",6000,NA,NA,NA
"722","1075_4",NA,NA,NA,NA
"723","1075_5",4000,NA,NA,NA
"724","1075_6",2800,NA,NA,NA
"725","1075_7",NA,0,NA,NA
"726","1075_8",6000,NA,NA,NA
"727","1075_9",7200,NA,NA,NA
"728","1076_1",8000,NA,NA,NA
"729","1076_10",4000,NA,NA,NA
"730","1076_12",NA,NA,NA,NA
"731","1076_13",7200,NA,NA,NA
"732","1076_14",3200,NA,NA,NA
"733","1076_15",NA,NA,NA,NA
"734","1076_16",3000,NA,NA,NA
"735","1076_17",8080,NA,NA,NA
"736","1076_18",5400,NA,NA,NA
"737","1076_19",NA,NA,NA,NA
"738","1076_2",3600,0,0,2
"739","1076_20",12400,NA,NA,NA
"740","1076_3",NA,NA,NA,NA
"741","1076_4",NA,NA,NA,NA
"742","1076_5",6800,NA,NA,NA
"743","1076_7",7400,NA,NA,NA
"744","1076_8",NA,NA,NA,NA
"745","1076_9",1600,NA,NA,NA
"746","1077_1",4000,NA,NA,NA
