vid,ingreso_viv,mes_info,mes_fov,mes_insp,mes_fp,mes_onl,mes_fa,gas_tot,prop_gasto
1041_4,12000,1785.7142857142858,NA,NA,NA,NA,NA,1785.7142857142858,0.1488095238095238
1041_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1042_10,14800,NA,NA,NA,NA,NA,NA,0,0
1042_11,4000,NA,NA,NA,NA,NA,NA,0,0
1042_12,1520,NA,NA,NA,NA,NA,NA,0,0
1042_13,10000,1219.5121951219512,NA,NA,NA,NA,NA,1219.5121951219512,0.12195121951219512
1042_15,NA,NA,NA,NA,NA,NA,NA,0,NA
1042_17,4000,NA,NA,NA,NA,NA,NA,0,0
1042_18,12000,NA,NA,NA,NA,NA,NA,0,0
1042_19,4400,NA,NA,NA,NA,NA,NA,0,0
1042_20,400,NA,NA,NA,NA,NA,NA,0,0
1042_3,6400,NA,NA,NA,NA,NA,NA,0,0
1042_4,2400,NA,NA,NA,NA,NA,NA,0,0
1042_5,3000,NA,NA,NA,NA,NA,NA,0,0
1042_6,7600,NA,NA,NA,NA,NA,NA,0,0
1042_7,NA,NA,NA,NA,NA,NA,NA,0,NA
1042_8,NA,NA,NA,NA,NA,NA,NA,0,NA
1042_9,NA,NA,NA,NA,NA,NA,NA,0,NA
1043_1,7600,NA,NA,NA,NA,NA,NA,0,0
1043_10,5000,NA,NA,NA,NA,NA,NA,0,0
1043_12,4000,NA,NA,NA,NA,NA,NA,0,0
1043_13,4800,NA,NA,NA,NA,NA,NA,0,0
1043_14,2000,NA,NA,NA,NA,NA,NA,0,0
1043_15,9600,NA,NA,NA,NA,NA,NA,0,0
1043_16,4800,NA,NA,NA,NA,NA,NA,0,0
1043_17,9000,NA,NA,NA,NA,NA,NA,0,0
1043_18,7200,NA,NA,NA,NA,NA,NA,0,0
1043_19,NA,NA,NA,NA,NA,NA,NA,0,NA
1043_2,2000,NA,NA,NA,NA,NA,NA,0,0
1043_20,2000,NA,NA,NA,NA,NA,NA,0,0
1043_3,2000,NA,NA,NA,NA,NA,NA,0,0
1043_4,8000,NA,NA,NA,NA,NA,NA,0,0
1043_5,NA,NA,NA,NA,NA,NA,NA,0,NA
1043_6,16400,NA,NA,NA,NA,NA,NA,0,0
1043_7,5200,NA,NA,NA,NA,NA,NA,0,0
1043_9,8000,NA,NA,NA,NA,NA,NA,0,0
1044_1,8000,NA,NA,NA,NA,NA,NA,0,0
1044_10,7200,NA,NA,NA,NA,NA,NA,0,0
1044_13,NA,NA,NA,NA,NA,NA,NA,0,NA
1044_14,NA,NA,NA,NA,NA,NA,NA,0,NA
1044_15,NA,NA,NA,NA,NA,NA,NA,0,NA
1044_16,16000,NA,NA,NA,NA,NA,NA,0,0
1044_17,NA,NA,NA,NA,NA,NA,NA,0,NA
1044_18,NA,NA,NA,NA,NA,NA,NA,0,NA
1044_19,4800,NA,NA,NA,NA,NA,NA,0,0
1044_2,4800,NA,NA,NA,NA,NA,NA,0,0
1044_20,NA,NA,NA,NA,NA,NA,NA,0,NA
1044_3,NA,NA,NA,NA,NA,NA,NA,0,NA
1044_4,NA,NA,NA,NA,NA,NA,NA,0,NA
1044_5,8000,NA,NA,NA,NA,NA,NA,0,0
1044_6,6000,NA,NA,NA,NA,NA,NA,0,0
1044_7,6600,NA,NA,NA,NA,NA,NA,0,0
1044_8,NA,NA,NA,NA,NA,NA,NA,0,NA
1044_9,37200,NA,NA,NA,NA,NA,NA,0,0
1045_10,4400,NA,NA,NA,NA,NA,NA,0,0
1045_11,18000,NA,NA,NA,NA,NA,NA,0,0
1045_12,4000,NA,NA,NA,NA,NA,NA,0,0
1045_13,13780,NA,NA,NA,NA,NA,NA,0,0
1045_14,NA,NA,NA,NA,NA,NA,NA,0,NA
