vid,estr_acc,estr_habit,estr_serv,estr_ubi,estr_aseq,estr_cul,estr_ten,estr_satis
1702_16,Media,Media,Alta,Media,Muy Alta,Baja,Muy Alta,Media
1702_17,Muy Alta,Baja,Baja,Media,Muy Alta,Alta,Muy baja,NA
1702_18,Muy baja,Baja,Baja,Baja,Muy Alta,Baja,Muy Alta,Alta
1702_19,Media,Baja,Baja,Muy baja,Muy Alta,Baja,Muy Alta,Media
1702_20,Muy baja,Baja,Media,Muy baja,Muy Alta,Baja,Muy Alta,Muy Alta
1703_1,Muy baja,Muy baja,Alta,Alta,NA,Alta,Muy Alta,Baja
1703_3,Muy baja,Baja,Alta,Media,Muy Alta,Baja,Alta,Alta
1703_4,Baja,Baja,Alta,Alta,Muy Alta,Alta,Muy Alta,Media
1703_5,Muy baja,Baja,Media,Alta,Muy Alta,Alta,Muy Alta,Alta
1703_6,Muy baja,Baja,Alta,Muy baja,Muy Alta,Baja,Alta,Alta
1703_7,Muy baja,Baja,Media,Baja,Muy Alta,Alta,Muy Alta,Alta
1703_8,Media,Muy baja,Media,Baja,NA,Baja,Muy baja,NA
1703_9,Muy baja,Media,Muy Alta,Media,NA,Alta,Alta,Muy baja
1703_10,Muy baja,Baja,Media,Media,Muy Alta,Baja,Alta,Media
1703_11,Media,Baja,Alta,Muy Alta,Muy Alta,Alta,Muy baja,NA
1703_12,Muy baja,Baja,Muy Alta,Baja,Muy Alta,Baja,Alta,Muy baja
1703_13,Media,Baja,Media,Baja,Muy Alta,Alta,Muy baja,NA
1703_14,Media,Media,Alta,Alta,Muy Alta,Baja,Alta,Baja
