uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,CONSEC,P7_4_2,P7_4_3,P7_5,P7_6,P7_7,P7_8,P7_8A,P7_8B,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
1402_6_1,1402_6,1402,6,1,1,1,NA,8,1,1,60000,2,NA,5,2,80,1402,421
1402_12_1,1402_12,1402,12,1,1,2,NA,4,1,2,NA,2,NA,5,2,80,1402,421
1408_8_1,1408_8,1408,8,1,1,7,NA,3,1,2,NA,2,NA,5,3,82,1408,180
1417_16_1,1417_16,1417,16,1,1,1,NA,4,3,2,NA,2,NA,5,4,84,1417,279
1434_3_1,1434_3,1434,3,1,1,1,NA,4,1,2,NA,2,NA,5,1,64,1434,712
1457_5_1,1457_5,1457,5,1,1,2,NA,2,1,2,NA,2,NA,6,1,86,1457,127
1458_3_1,1458_3,1458,3,1,1,2,NA,1,3,2,NA,2,NA,6,1,86,1458,69
1458_3_1,1458_3,1458,3,1,2,2,NA,1,3,2,NA,2,NA,6,1,86,1458,69
1468_4_2,1468_4,1468,4,2,1,1,NA,5,1,1,2000,2,NA,6,1,86,1468,107
1489_3_1,1489_3,1489,3,1,1,1,NA,6,1,2,NA,2,NA,6,1,85,1489,120
1507_1_1,1507_1,1507,1,1,1,1,NA,4,3,2,NA,1,30000,6,1,87,1507,180
1538_1_1,1538_1,1538,1,1,1,1,NA,2,1,2,NA,2,NA,6,1,88,1538,149
1599_4_1,1599_4,1599,4,1,1,1,2,2,1,2,NA,2,NA,6,1,88,1599,139
1599_4_1,1599_4,1599,4,1,2,1,2,2,1,2,NA,2,NA,6,1,88,1599,139
1599_4_1,1599_4,1599,4,1,3,1,NA,3,1,2,NA,2,NA,6,1,88,1599,139
1606_4_1,1606_4,1606,4,1,1,2,NA,6,1,2,NA,2,NA,6,1,85,1606,174
1615_4_1,1615_4,1615,4,1,1,2,1,4,1,2,NA,2,NA,6,1,86,1615,110
1624_3_1,1624_3,1624,3,1,1,1,NA,5,1,1,60000,2,NA,6,1,87,1624,138
1628_2_1,1628_2,1628,2,1,1,1,NA,2,1,2,NA,2,NA,6,1,86,1628,142
1633_2_1,1633_2,1633,2,1,1,1,NA,4,1,2,NA,2,NA,6,1,86,1633,109
1638_4_1,1638_4,1638,4,1,1,1,NA,2,1,2,NA,2,NA,6,1,87,1638,187
1670_9_1,1670_9,1670,9,1,1,2,NA,3,1,2,NA,1,25000,6,2,91,1670,103
1670_10_1,1670_10,1670,10,1,1,2,NA,3,1,2,NA,2,NA,6,2,91,1670,103
1684_15_1,1684_15,1684,15,1,1,4,NA,99,1,9,NA,9,NA,6,3,93,1684,174
1698_12_1,1698_12,1698,12,1,1,1,NA,3,1,1,15000,1,8000,6,4,96,1698,106
1716_5_1,1716_5,1716,5,1,1,1,NA,2,1,1,70000,2,NA,6,1,86,1716,176
1719_4_1,1719_4,1719,4,1,1,1,2,5,3,2,NA,1,100000,6,1,86,1719,59
1719_4_1,1719_4,1719,4,1,2,1,2,4,1,2,NA,2,NA,6,1,86,1719,59
1719_4_1,1719_4,1719,4,1,3,1,2,3,1,2,NA,2,NA,6,1,86,1719,59
1719_4_1,1719_4,1719,4,1,4,1,2,3,1,2,NA,2,NA,6,1,86,1719,59
1719_4_1,1719_4,1719,4,1,5,1,2,4,1,2,NA,2,NA,6,1,86,1719,59
1732_2_1,1732_2,1732,2,1,1,1,NA,3,1,2,NA,2,NA,7,1,106,1732,932
1803_1_1,1803_1,1803,1,1,1,1,NA,3,1,2,NA,2,NA,7,1,97,1803,783
1820_13_1,1820_13,1820,13,1,1,1,NA,2,1,1,1000,2,NA,7,2,109,1820,562
1828_9_1,1828_9,1828,9,1,1,1,NA,1,3,2,NA,2,NA,7,3,111,1828,1262
1828_9_1,1828_9,1828,9,1,2,1,NA,1,3,2,NA,2,NA,7,3,111,1828,1262
1844_1_1,1844_1,1844,1,1,1,1,NA,2,3,2,NA,2,NA,7,4,114,1844,225
1846_16_1,1846_16,1846,16,1,1,1,NA,3,1,2,NA,2,NA,7,4,114,1846,995
1969_4_1,1969_4,1969,4,1,1,1,NA,5,1,2,NA,2,NA,8,1,119,1969,919
1974_5_1,1974_5,1974,5,1,1,2,NA,5,1,2,NA,2,NA,8,1,121,1974,395
1980_5_1,1980_5,1980,5,1,1,2,NA,8,1,2,NA,2,NA,8,1,121,1980,558
1985_4_1,1985_4,1985,4,1,1,1,2,4,1,2,NA,2,NA,8,1,119,1985,786
1998_1_1,1998_1,1998,1,1,1,1,NA,2,4,2,NA,2,NA,8,1,121,1998,925
1998_5_1,1998_5,1998,5,1,1,1,NA,6,1,2,NA,2,NA,8,1,121,1998,925
2062_5_1,2062_5,2062,5,1,1,1,NA,4,1,1,90000,2,NA,8,1,117,2062,860
2077_4_1,2077_4,2077,4,1,1,2,NA,2,1,2,NA,2,NA,8,1,118,2077,739
2077_4_1,2077_4,2077,4,1,2,2,NA,2,1,2,NA,2,NA,8,1,118,2077,739
2086_3_1,2086_3,2086,3,1,1,2,NA,5,1,1,10000,2,NA,8,1,116,2086,703
2088_5_1,2088_5,2088,5,1,1,1,NA,7,1,2,NA,1,15000,8,1,117,2088,612
2129_3_1,2129_3,2129,3,1,1,1,NA,3,1,1,15000,1,10000,8,1,117,2129,753
2145_4_1,2145_4,2145,4,1,1,1,NA,4,1,2,NA,2,NA,8,1,117,2145,666
2216_4_1,2216_4,2216,4,1,1,1,NA,8,1,2,NA,1,90000,8,1,120,2216,523
2251_4_1,2251_4,2251,4,1,1,3,NA,6,1,2,NA,2,NA,9,1,137,2251,2326
2251_5_1,2251_5,2251,5,1,1,2,NA,4,1,2,NA,2,NA,9,1,137,2251,2326
2268_1_1,2268_1,2268,1,1,1,1,NA,6,2,2,NA,2,NA,9,1,137,2268,1649
2327_1_1,2327_1,2327,1,1,1,1,NA,4,1,2,NA,2,NA,9,1,137,2327,1914
2436_2_1,2436_2,2436,2,1,1,2,NA,2,3,2,NA,2,NA,9,1,135,2436,1670
2446_3_1,2446_3,2446,3,1,1,2,NA,3,3,1,20000,2,NA,9,1,136,2446,2104
2462_1_1,2462_1,2462,1,1,1,1,NA,4,3,2,NA,2,NA,9,1,137,2462,2470
2624_5_1,2624_5,2624,5,1,1,1,NA,5,1,1,30000,2,NA,10,1,144,2624,343
