...1,...2,vid,EST_DIS,UPM_DIS,FACTOR,P6_3_1,P6_3_2,P6_3_3,P6_3_4,P6_3_5,P6_3_6,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_4_5,p2distance.3,estratos...stratumID...
9585,9585,2289_3,135,2289,1728,4,4,4,5,5,5,3,4,5,4,2,27.09056847908062,Alta
9586,9586,2289_5,135,2289,1728,5,5,5,5,5,5,5,5,5,5,2,31.26746885414216,Muy Alta
9587,9587,2291_1,135,2291,1805,5,5,5,5,5,5,5,5,5,5,5,31.39933787010552,Muy Alta
9588,9588,2291_2,135,2291,1805,2,3,4,4,4,4,4,4,5,4,4,23.283313344031665,Media
9589,9589,2291_4,135,2291,1805,5,5,4,5,5,5,4,5,5,5,5,30.253444640777435,Muy Alta
9590,9590,2291_5,135,2291,1805,4,5,5,5,5,5,5,5,5,5,5,30.816872043807777,Muy Alta
9591,9591,2292_1,136,2292,3075,4,5,5,5,5,5,4,5,5,5,5,32.41901627337355,Muy Alta
9592,9592,2292_4,136,2292,3075,4,4,2,4,4,3,4,5,5,5,2,26.607705946383607,Alta
9593,9593,2293_1,135,2293,1487,4,4,4,4,4,4,4,4,4,4,2,23.777277157424948,Media
9594,9594,2293_2,135,2293,1487,5,5,5,5,5,5,5,5,5,5,5,30.854735960023064,Muy Alta
9595,9595,2293_3,135,2293,1487,3,5,4,5,5,5,5,5,5,5,5,29.116749319617746,Muy Alta
9596,9596,2293_4,135,2293,1487,5,5,5,5,5,5,5,5,5,5,5,30.854735960023064,Muy Alta
9597,9597,2294_2,136,2294,1799,4,4,4,5,5,5,5,5,5,5,5,29.380675317754488,Muy Alta
9598,9598,2295_3,136,2295,1351,5,5,5,5,5,5,5,5,5,5,5,30.621824451308555,Muy Alta
9599,9599,2295_5,136,2295,1351,3,3,3,3,3,5,5,5,5,4,5,22.662505725623017,Media
9600,9600,2296_2,136,2296,1609,4,4,3,2,4,4,2,2,2,4,4,17.70745470279537,Baja
9601,9601,2297_3,136,2297,1488,5,5,5,5,5,5,5,5,5,5,5,30.856448544645964,Muy Alta
9602,9602,2298_2,136,2298,1436,5,5,5,5,5,5,4,5,5,5,4,30.194555902736873,Muy Alta
9603,9603,2298_3,136,2298,1436,2,3,4,3,3,4,4,3,3,2,2,17.47657370086367,Muy baja
9604,9604,2298_4,136,2298,1436,5,5,5,4,5,5,5,5,5,5,5,30.045005132552845,Muy Alta
9605,9605,2298_5,136,2298,1436,5,5,5,4,5,5,5,5,5,5,5,30.045005132552845,Muy Alta
9606,9606,2299_1,136,2299,1574,5,5,5,5,4,5,4,5,5,5,5,29.404231706595777,Muy Alta
9607,9607,2299_2,136,2299,1574,5,5,5,5,5,5,5,5,5,5,5,31.003730822215434,Muy Alta
9608,9608,2299_3,136,2299,1574,5,5,5,5,5,5,5,5,5,5,5,31.003730822215434,Muy Alta
9609,9609,2300_1,136,2300,1544,5,5,5,5,5,5,5,5,5,5,5,30.95235328352841,Muy Alta
9610,9610,2300_2,136,2300,1544,5,5,5,5,5,5,5,5,5,5,5,30.95235328352841,Muy Alta
9611,9611,2301_1,136,2301,1690,5,5,4,5,5,5,5,5,5,5,5,30.629335650662092,Muy Alta
9612,9612,2301_2,136,2301,1690,5,5,5,5,5,5,5,5,5,5,5,31.20239063847193,Muy Alta
9613,9613,2301_3,136,2301,1690,5,5,5,5,5,5,5,5,5,5,5,31.20239063847193,Muy Alta
9614,9614,2301_5,136,2301,1690,5,5,2,5,5,5,4,4,4,5,4,27.35276329133788,Alta
9615,9615,2302_5,136,2302,1389,4,4,5,5,4,3,5,2,2,2,2,20.728473467711282,Baja
9616,9616,2303_1,136,2303,1779,5,5,5,5,5,5,5,5,5,5,5,31.3548106699101,Muy Alta
9617,9617,2303_5,136,2303,1779,5,5,5,5,5,5,5,5,5,5,4,31.3548106699101,Muy Alta
9618,9618,2304_1,136,2304,1902,4,4,3,5,5,5,4,4,5,4,4,27.388341457173777,Alta
9619,9619,2304_2,136,2304,1902,5,5,5,5,5,5,5,5,5,5,2,31.5654585785269,Muy Alta
9620,9620,2304_3,136,2304,1902,3,4,4,3,5,4,4,4,4,4,4,24.209805812030165,Media
9621,9621,2304_4,136,2304,1902,4,5,5,5,5,5,2,4,4,2,4,26.37351929093537,Alta
9622,9622,2304_5,136,2304,1902,4,5,4,5,5,5,5,5,5,5,5,30.409937764419322,Muy Alta
9623,9623,2305_4,135,2305,1604,4,4,4,4,4,5,5,5,5,4,4,26.853226565634234,Alta
9624,9624,2306_1,135,2306,1457,5,5,4,4,4,5,4,3,4,3,2,24.88350945175566,Media
9625,9625,2306_3,135,2306,1457,4,4,3,4,5,5,5,5,5,2,2,26.166192782657557,Alta
9626,9626,2306_4,135,2306,1457,3,4,3,4,4,4,3,3,3,3,5,19.99547155607489,Baja
9627,9627,2307_2,135,2307,1645,5,5,5,5,5,5,5,5,5,5,5,31.125324330441394,Muy Alta
9628,9628,2308_1,137,2308,2120,5,5,4,5,5,5,4,4,4,4,2,28.790839789953985,Muy Alta
9629,9629,2309_3,136,2309,1861,5,5,5,5,5,5,5,5,5,5,5,31.495242608987965,Muy Alta
9630,9630,2309_4,136,2309,1861,4,4,2,4,5,5,4,4,5,5,4,26.467126352973644,Alta
9631,9631,2309_5,136,2309,1861,5,5,5,5,5,5,5,5,5,5,5,31.495242608987965,Muy Alta
9632,9632,2310_2,135,2310,1383,5,5,5,5,5,5,5,5,5,5,5,30.67662715924138,Muy Alta
9633,9633,2311_1,135,2311,1414,4,5,5,5,5,5,5,5,5,5,5,30.147251456253564,Muy Alta
9634,9634,2311_2,135,2311,1414,2,2,2,5,5,5,4,4,4,4,4,22.129648900154965,Media
9635,9635,2311_3,135,2311,1414,5,5,5,5,5,5,5,5,5,5,5,30.729717282551306,Muy Alta
9636,9636,2311_4,135,2311,1414,5,5,5,5,5,5,5,5,5,5,5,30.729717282551306,Muy Alta
9637,9637,2311_5,135,2311,1414,5,4,4,5,5,5,5,5,5,5,5,29.30379606423542,Muy Alta
9638,9638,2312_1,136,2312,1765,4,5,5,5,5,5,5,5,5,5,2,30.748368658891746,Muy Alta
9639,9639,2312_2,136,2312,1765,3,5,5,3,5,5,4,4,4,4,3,26.146217560633993,Alta
9640,9640,2312_5,136,2312,1765,4,4,3,5,5,5,5,4,4,4,4,26.74732344572882,Alta
9641,9641,2313_1,135,2313,1426,5,5,5,5,5,5,5,5,4,5,4,29.77103613840032,Muy Alta
9642,9642,2313_2,135,2313,1426,4,5,5,5,5,5,5,5,5,5,5,30.167802471728372,Muy Alta
9643,9643,2313_4,135,2313,1426,5,4,4,5,5,4,3,4,5,4,2,26.41071912563697,Alta
