uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,N_INF,P3A1_1,P3A1_2,P4_1,P4_2_2,P7_1,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
21_5_1,21_5,21,5,1,1,2,NA,NA,1,2,1,1,2,21,186
22_1_1,22_1,22,1,1,2,2,NA,NA,2,2,1,1,2,22,211
22_2_1,22_2,22,2,1,2,2,NA,NA,2,2,1,1,2,22,211
22_3_1,22_3,22,3,1,3,2,NA,NA,3,2,1,1,2,22,211
22_4_1,22_4,22,4,1,1,1,1,NA,1,2,1,1,2,22,211
22_5_1,22_5,22,5,1,1,2,NA,NA,1,2,1,1,2,22,211
23_1_1,23_1,23,1,1,1,2,NA,NA,1,2,1,1,2,23,230
23_2_1,23_2,23,2,1,1,2,NA,NA,1,2,1,1,2,23,230
23_3_1,23_3,23,3,1,2,2,NA,NA,2,2,1,1,2,23,230
23_4_1,23_4,23,4,1,1,2,NA,NA,1,2,1,1,2,23,230
23_5_1,23_5,23,5,1,1,2,NA,NA,1,2,1,1,2,23,230
24_1_1,24_1,24,1,1,1,2,NA,NA,1,2,1,1,2,24,223
24_2_1,24_2,24,2,1,1,2,NA,NA,1,2,1,1,2,24,223
24_3_1,24_3,24,3,1,1,2,NA,NA,1,1,1,1,2,24,223
24_4_1,24_4,24,4,1,1,2,NA,NA,1,2,1,1,2,24,223
24_5_1,24_5,24,5,1,1,2,NA,NA,1,2,1,1,2,24,223
25_2_1,25_2,25,2,1,2,2,NA,NA,2,2,1,1,2,25,163
25_3_1,25_3,25,3,1,1,2,NA,NA,1,2,1,1,2,25,163
25_4_1,25_4,25,4,1,2,2,NA,NA,2,2,1,1,2,25,163
26_1_1,26_1,26,1,1,1,2,NA,NA,1,2,1,1,2,26,203
26_3_1,26_3,26,3,1,1,1,1,NA,1,2,1,1,2,26,203
26_4_1,26_4,26,4,1,1,1,1,NA,1,2,1,1,2,26,203
27_1_1,27_1,27,1,1,2,2,NA,NA,2,2,1,1,1,27,199
27_2_1,27_2,27,2,1,1,2,NA,NA,1,2,1,1,1,27,199
27_3_1,27_3,27,3,1,2,2,NA,NA,2,2,1,1,1,27,199
27_4_1,27_4,27,4,1,2,1,1,NA,3,2,1,1,1,27,199
27_5_1,27_5,27,5,1,1,2,NA,NA,1,2,1,1,1,27,199
28_1_1,28_1,28,1,1,2,2,NA,NA,2,2,1,1,1,28,175
28_2_1,28_2,28,2,1,2,2,NA,NA,2,2,1,1,1,28,175
28_3_1,28_3,28,3,1,1,2,NA,NA,1,2,1,1,1,28,175
28_4_1,28_4,28,4,1,1,2,NA,NA,1,2,1,1,1,28,175
28_5_1,28_5,28,5,1,1,2,NA,NA,1,2,1,1,1,28,175
29_1_1,29_1,29,1,1,1,2,NA,NA,1,2,1,1,3,29,245
29_2_1,29_2,29,2,1,2,2,NA,NA,2,2,1,1,3,29,245
29_4_1,29_4,29,4,1,1,2,NA,NA,1,2,1,1,3,29,245
29_5_1,29_5,29,5,1,2,2,NA,NA,2,2,1,1,3,29,245
30_1_1,30_1,30,1,1,1,2,NA,NA,1,1,1,1,1,30,203
30_2_1,30_2,30,2,1,1,1,1,NA,1,2,1,1,1,30,203
30_3_1,30_3,30,3,1,2,2,NA,NA,2,2,1,1,1,30,203
30_4_1,30_4,30,4,1,1,2,NA,NA,1,2,1,1,1,30,203
30_5_1,30_5,30,5,1,1,2,NA,NA,1,2,1,1,1,30,203
31_3_1,31_3,31,3,1,2,2,NA,NA,1,2,1,1,2,31,191
31_4_1,31_4,31,4,1,1,2,NA,NA,1,2,1,1,2,31,191
31_5_1,31_5,31,5,1,1,2,NA,NA,1,2,1,1,2,31,191
32_1_1,32_1,32,1,1,2,2,NA,NA,1,2,1,1,2,32,181
32_4_1,32_4,32,4,1,1,2,NA,NA,1,2,1,1,2,32,181
32_5_1,32_5,32,5,1,2,2,NA,NA,2,1,1,1,2,32,181
33_1_1,33_1,33,1,1,1,2,NA,NA,1,2,1,1,2,33,196
33_2_1,33_2,33,2,1,5,2,NA,NA,5,2,1,1,2,33,196
33_3_1,33_3,33,3,1,1,2,NA,NA,1,2,1,1,2,33,196
33_4_1,33_4,33,4,1,3,2,NA,NA,3,2,1,1,2,33,196
33_5_1,33_5,33,5,1,1,2,NA,NA,1,2,1,1,2,33,196
34_1_1,34_1,34,1,1,1,2,NA,NA,1,2,1,1,2,34,235
34_2_1,34_2,34,2,1,2,2,NA,NA,2,1,1,1,2,34,235
34_3_1,34_3,34,3,1,1,2,NA,NA,1,1,1,1,2,34,235
34_4_1,34_4,34,4,1,1,2,NA,NA,1,2,1,1,2,34,235
35_1_1,35_1,35,1,1,1,2,NA,NA,1,2,1,1,2,35,231
35_2_1,35_2,35,2,1,1,1,1,NA,1,2,1,1,2,35,231
35_3_1,35_3,35,3,1,1,2,NA,NA,1,2,1,1,2,35,231
35_4_1,35_4,35,4,1,2,2,NA,NA,2,1,1,1,2,35,231
35_5_1,35_5,35,5,1,1,2,NA,NA,1,1,1,1,2,35,231
36_1_1,36_1,36,1,1,1,2,NA,NA,1,2,1,1,3,36,230
36_2_1,36_2,36,2,1,1,2,NA,NA,1,2,1,1,3,36,230
36_3_1,36_3,36,3,1,1,2,NA,NA,1,1,1,1,3,36,230
36_4_1,36_4,36,4,1,2,1,1,NA,2,2,1,1,3,36,230
36_5_1,36_5,36,5,1,1,1,1,NA,1,1,1,1,3,36,230
37_1_1,37_1,37,1,1,1,2,NA,NA,1,2,1,1,2,37,219
37_3_1,37_3,37,3,1,2,2,NA,NA,2,2,1,1,2,37,219
37_4_1,37_4,37,4,1,1,2,NA,NA,1,2,1,1,2,37,219
37_5_1,37_5,37,5,1,2,2,NA,NA,2,2,1,1,2,37,219
38_1_1,38_1,38,1,1,2,2,NA,NA,2,2,1,1,2,38,219
38_4_1,38_4,38,4,1,2,2,NA,NA,2,2,1,1,2,38,219
38_5_1,38_5,38,5,1,1,2,NA,NA,1,2,1,1,2,38,219
39_1_1,39_1,39,1,1,1,1,1,NA,1,2,1,1,2,39,226
39_2_1,39_2,39,2,1,1,2,NA,NA,1,1,1,1,2,39,226
39_3_1,39_3,39,3,1,2,2,NA,NA,1,2,1,1,2,39,226
39_4_1,39_4,39,4,1,1,2,NA,NA,1,1,1,1,2,39,226
39_5_1,39_5,39,5,1,1,2,NA,NA,1,2,1,1,2,39,226
40_1_1,40_1,40,1,1,3,2,NA,NA,1,2,1,1,1,40,140
40_2_1,40_2,40,2,1,1,2,NA,NA,1,2,1,1,1,40,140
40_3_1,40_3,40,3,1,2,2,NA,NA,1,2,1,1,1,40,140
40_4_1,40_4,40,4,1,3,2,NA,NA,3,2,1,1,1,40,140
40_5_1,40_5,40,5,1,1,1,1,NA,1,2,1,1,1,40,140
41_1_1,41_1,41,1,1,1,2,NA,NA,1,2,1,1,2,41,196
41_2_1,41_2,41,2,1,2,2,NA,NA,2,2,1,1,2,41,196
41_3_1,41_3,41,3,1,3,2,NA,NA,3,2,1,1,2,41,196
41_4_1,41_4,41,4,1,2,2,NA,NA,2,2,1,1,2,41,196
41_5_1,41_5,41,5,1,4,1,1,NA,4,2,1,1,2,41,196
42_1_1,42_1,42,1,1,1,2,NA,NA,1,2,1,1,2,42,204
42_2_1,42_2,42,2,1,1,2,NA,NA,1,2,1,1,2,42,204
42_3_1,42_3,42,3,1,2,2,NA,NA,2,2,1,1,2,42,204
42_4_1,42_4,42,4,1,2,2,NA,NA,2,2,1,1,2,42,204
42_5_1,42_5,42,5,1,2,1,1,NA,2,2,1,1,2,42,204
