"","vid","EST_DIS","UPM_DIS","FACTOR","P6_3_1","P6_3_2","P6_3_3","P6_3_4","P6_3_5","P6_3_6","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_4_5"
"33404","7338_3",475,7338,437,1,1,3,1,1,1,1,1,2,2,1
"33405","7338_5",475,7338,437,1,1,1,1,1,1,1,1,1,1,1
"33406","7338_6",475,7338,437,2,3,2,1,1,2,2,2,1,4,1
"33407","7338_7",475,7338,437,2,2,3,1,3,1,1,1,2,4,1
"33408","7338_9",475,7338,437,2,3,3,3,2,3,2,2,1,4,1
"33409","7338_10",475,7338,437,2,2,3,1,1,2,2,1,2,4,1
"33410","7338_11",475,7338,437,1,2,1,1,1,1,1,1,1,1,1
"33411","7338_12",475,7338,437,1,1,1,1,1,1,1,1,1,1,1
"33412","7338_13",475,7338,437,1,1,1,1,1,1,1,1,1,4,1
"33413","7338_15",475,7338,437,2,2,3,2,3,1,1,2,1,1,1
"33414","7338_16",475,7338,437,2,1,1,1,1,1,1,1,1,1,1
"33415","7338_17",475,7338,437,2,1,1,1,1,1,1,1,1,1,1
"33416","7338_18",475,7338,437,1,1,1,1,1,1,1,1,1,1,1
"33417","7338_19",475,7338,437,2,3,3,1,1,1,2,2,2,2,1
"33418","7339_1",475,7339,467,2,2,2,2,1,2,1,4,4,4,1
"33419","7339_2",475,7339,467,3,3,4,1,1,3,3,4,4,4,1
"33420","7339_3",475,7339,467,3,3,2,1,2,2,2,3,4,4,1
"33421","7339_4",475,7339,467,2,2,2,1,1,2,1,2,1,4,2
"33422","7339_5",475,7339,467,2,3,1,1,2,2,1,1,3,4,1
"33423","7339_6",475,7339,467,2,2,4,1,1,4,3,4,3,4,1
"33424","7339_7",475,7339,467,1,2,4,1,2,2,2,4,4,4,1
"33425","7339_8",475,7339,467,4,4,4,4,4,4,4,4,4,4,1
"33426","7339_9",475,7339,467,1,2,3,2,2,3,3,2,2,4,1
"33427","7339_10",475,7339,467,2,2,2,1,1,1,2,3,3,4,2
"33428","7339_12",475,7339,467,2,2,3,2,2,2,2,2,2,2,2
"33429","7339_13",475,7339,467,1,2,2,1,1,1,1,1,1,1,1
"33430","7339_15",475,7339,467,2,2,2,1,1,1,2,4,2,4,1
"33431","7339_16",475,7339,467,1,1,1,2,1,2,1,2,2,4,1
"33432","7339_17",475,7339,467,1,1,1,2,1,1,1,2,2,4,1
"33433","7340_1",475,7340,610,2,1,4,1,1,1,2,1,4,4,1
"33434","7340_2",475,7340,610,3,2,2,2,1,1,1,3,2,4,1
"33435","7340_3",475,7340,610,2,4,4,2,2,4,1,3,3,3,3
"33436","7340_4",475,7340,610,1,1,3,4,1,1,1,1,1,1,1
"33437","7340_6",475,7340,610,1,1,3,1,1,1,1,1,1,2,1
"33438","7340_7",475,7340,610,4,3,3,2,2,2,1,3,3,4,1
"33439","7340_8",475,7340,610,2,2,2,2,2,2,2,2,2,4,2
"33440","7340_9",475,7340,610,1,2,2,1,1,3,1,1,2,2,1
"33441","7340_10",475,7340,610,2,2,3,1,1,1,2,3,2,4,1
"33442","7340_13",475,7340,610,2,2,4,2,1,2,2,4,4,4,1
"33443","7340_14",475,7340,610,4,2,4,2,3,2,3,3,3,4,1
"33444","7340_15",475,7340,610,3,3,4,1,1,4,1,2,3,4,1
"33445","7340_16",475,7340,610,3,3,4,1,1,1,2,2,1,2,1
"33446","7340_17",475,7340,610,2,3,4,1,1,3,3,3,3,4,3
"33447","7340_19",475,7340,610,3,3,4,2,2,3,4,4,4,4,2
