"","vid","EST_DIS","UPM_DIS","FACTOR","P6_3_1","P6_3_2","P6_3_3","P6_3_4","P6_3_5","P6_3_6","P6_4_1","P6_4_2","P6_4_3","P6_4_4","P6_4_5"
"9441","2222_5",131,2222,283,4,3,4,3,1,3,2,2,2,2,3
"9442","2223_1",126,2223,1111,2,2,2,2,1,1,3,3,3,3,3
"9443","2223_2",126,2223,1111,2,2,2,1,1,2,3,3,3,3,1
"9444","2223_3",126,2223,1111,1,1,1,1,1,1,1,1,1,1,1
"9445","2223_4",126,2223,1111,2,4,2,1,1,1,4,4,4,4,2
"9446","2223_5",126,2223,1111,2,3,4,2,2,1,3,3,3,3,3
"9447","2224_1",117,2224,414,1,3,1,2,1,1,1,1,3,2,1
"9448","2224_4",117,2224,414,2,2,2,1,1,1,3,3,3,3,3
"9449","2225_1",120,2225,174,1,1,1,1,1,1,2,2,1,1,1
"9450","2225_2",120,2225,174,1,1,1,1,1,1,1,1,1,1,1
"9451","2225_3",120,2225,174,1,1,1,1,1,1,1,1,1,1,1
"9452","2225_4",120,2225,174,1,1,1,1,1,1,2,2,2,1,1
"9453","2225_5",120,2225,174,1,1,1,1,1,1,1,1,1,1,1
"9454","2226_1",126,2226,327,3,3,3,2,3,3,3,3,1,3,1
"9455","2226_2",126,2226,327,3,3,2,1,2,1,2,2,1,1,3
"9456","2226_3",126,2226,327,2,2,2,1,1,2,3,3,2,1,2
"9457","2226_4",126,2226,327,2,4,2,2,2,2,2,2,2,2,2
"9458","2226_5",126,2226,327,1,1,1,1,1,1,2,2,1,1,1
"9459","2227_1",136,2227,1759,2,2,2,1,1,1,2,1,2,2,4
"9460","2227_3",136,2227,1759,3,2,2,2,2,1,2,3,3,4,4
"9461","2227_5",136,2227,1759,1,1,1,1,1,1,1,1,1,1,1
"9462","2228_2",136,2228,1265,1,1,2,1,1,1,2,2,2,2,4
"9463","2228_4",136,2228,1265,1,1,3,1,1,1,1,1,1,1,1
"9464","2229_2",136,2229,1438,1,2,3,1,1,1,1,1,1,1,4
"9465","2229_3",136,2229,1438,1,1,2,3,3,2,1,1,3,2,4
"9466","2230_1",136,2230,1635,1,1,1,1,1,1,1,1,1,1,1
"9467","2230_4",136,2230,1635,2,2,3,2,2,1,1,1,1,1,1
"9468","2231_3",136,2231,2235,1,1,1,1,1,1,1,1,3,1,1
"9469","2232_1",135,2232,1299,4,2,3,1,1,1,1,4,4,4,4
"9470","2233_1",136,2233,1678,1,1,1,1,1,1,1,1,1,1,4
"9471","2233_2",136,2233,1678,2,1,1,1,2,1,1,1,4,4,1
"9472","2233_3",136,2233,1678,1,1,1,1,1,1,1,1,1,1,1
"9473","2234_1",136,2234,1835,3,1,1,3,1,1,4,1,2,2,4
"9474","2234_5",136,2234,1835,1,1,2,1,1,1,1,1,1,1,4
"9475","2235_1",136,2235,1569,1,1,1,1,1,1,1,1,1,1,1
"9476","2235_2",136,2235,1569,1,1,2,1,1,1,1,1,2,1,1
"9477","2236_2",135,2236,1507,1,1,1,1,1,1,1,1,1,1,1
"9478","2236_5",135,2236,1507,3,3,4,1,1,2,2,2,1,2,4
"9479","2237_3",136,2237,1303,1,2,3,1,1,1,2,2,3,1,4
"9480","2238_4",136,2238,1843,1,1,1,1,1,1,1,1,1,1,1
"9481","2239_2",135,2239,1251,3,4,4,2,2,3,4,4,4,4,4
"9482","2239_4",135,2239,1251,1,2,2,1,1,1,1,1,1,1,1
"9483","2240_1",136,2240,1689,1,1,2,1,3,2,3,2,2,2,4
"9484","2240_3",136,2240,1689,2,2,4,1,1,1,4,2,3,3,4
"9485","2240_4",136,2240,1689,1,1,1,1,1,1,2,1,2,2,2
"9486","2240_5",136,2240,1689,1,2,1,1,2,1,2,2,2,1,3
"9487","2241_1",137,2241,1989,3,1,2,2,2,1,2,2,2,3,4
"9488","2241_2",137,2241,1989,1,1,1,1,1,1,3,3,3,2,4
"9489","2241_3",137,2241,1989,1,1,1,1,1,1,1,1,1,2,4
"9490","2242_2",137,2242,1975,2,1,2,1,1,1,1,1,1,1,1
"9491","2242_3",137,2242,1975,2,1,1,1,1,1,2,2,2,3,4
"9492","2242_4",137,2242,1975,3,1,4,4,2,2,1,3,3,1,4
"9493","2242_5",137,2242,1975,1,1,1,1,1,1,1,1,1,1,1
"9494","2243_1",135,2243,1325,2,3,2,2,2,3,4,2,4,4,4
"9495","2243_2",135,2243,1325,2,2,3,1,1,2,1,1,1,1,1
"9496","2243_3",135,2243,1325,2,2,1,1,2,1,1,1,1,1,4
"9497","2243_4",135,2243,1325,4,4,4,1,1,1,4,4,4,3,1
"9498","2243_5",135,2243,1325,4,4,4,1,1,4,2,4,2,4,2
"9499","2244_1",137,2244,2216,1,1,1,1,1,1,1,1,1,1,1
"9500","2245_4",137,2245,2252,1,1,1,2,2,2,2,1,2,1,4
"9501","2247_1",135,2247,1592,3,1,1,1,1,1,1,1,1,1,1
"9502","2248_1",135,2248,1551,1,1,1,1,1,1,1,1,1,1,1
"9503","2249_2",135,2249,1524,1,1,1,1,1,1,1,1,1,1,4
"9504","2250_5",135,2250,1801,1,1,1,1,1,1,2,2,2,2,4
"9505","2251_3",137,2251,2326,1,1,1,1,3,2,2,2,2,2,2
"9506","2251_4",137,2251,2326,1,1,3,1,1,1,1,1,1,1,1
"9507","2251_5",137,2251,2326,2,1,1,1,1,1,1,1,1,1,1
"9508","2252_1",135,2252,1606,3,2,4,4,1,3,4,2,2,4,4
"9509","2252_3",135,2252,1606,2,2,2,2,2,2,1,1,1,2,1
"9510","2253_2",136,2253,1992,2,2,2,3,2,2,2,2,2,2,2
"9511","2253_3",136,2253,1992,1,1,1,1,1,1,1,1,1,1,1
"9512","2254_2",136,2254,1691,1,1,1,1,1,1,1,1,1,1,4
"9513","2255_1",137,2255,2318,1,1,1,1,1,1,1,1,1,1,1
"9514","2255_4",137,2255,2318,3,1,2,2,2,2,2,2,2,2,2
"9515","2256_4",136,2256,1747,1,1,1,1,1,1,1,1,1,1,4
"9516","2257_1",135,2257,1415,1,1,2,2,1,1,1,1,1,1,4
"9517","2257_3",135,2257,1415,1,1,1,1,1,1,1,1,1,1,4
"9518","2257_4",135,2257,1415,1,1,1,1,1,1,1,1,1,1,4
"9519","2258_1",137,2258,1853,1,1,1,1,1,1,1,1,1,1,1
"9520","2258_2",137,2258,1853,1,1,1,2,1,1,1,1,1,1,4
"9521","2258_4",137,2258,1853,3,2,3,2,2,2,3,3,3,3,4
"9522","2260_5",135,2260,1706,2,2,3,1,2,2,2,4,4,4,4
"9523","2261_1",135,2261,1641,2,2,3,1,1,1,1,2,3,4,4
"9524","2261_4",135,2261,1641,1,1,1,1,1,1,1,1,1,1,1
"9525","2262_1",136,2262,1629,2,2,2,2,2,2,3,3,4,3,4
"9526","2262_2",136,2262,1629,2,2,2,2,1,2,2,3,2,2,1
"9527","2262_3",136,2262,1629,2,2,2,2,2,2,2,2,2,2,4
"9528","2263_2",136,2263,1860,1,2,2,1,1,1,2,2,3,2,4
"9529","2263_5",136,2263,1860,1,1,1,1,1,1,3,3,1,2,1
"9530","2264_5",137,2264,2040,1,1,1,1,1,1,2,2,1,1,2
"9531","2265_1",136,2265,1532,1,3,2,1,1,1,2,2,2,2,4
"9532","2265_3",136,2265,1532,3,3,3,1,1,1,3,3,3,3,3
"9533","2265_4",136,2265,1532,4,2,1,2,2,1,2,2,2,2,4
"9534","2265_5",136,2265,1532,1,1,1,1,1,1,1,1,1,1,4
"9535","2266_1",135,2266,1579,1,1,2,1,1,2,1,1,1,4,4
"9536","2268_1",137,2268,1649,1,1,1,2,1,2,1,1,1,1,4
"9537","2268_2",137,2268,1649,1,1,1,1,1,1,1,1,1,1,4
"9538","2268_5",137,2268,1649,1,1,1,1,1,1,1,2,1,1,4
"9539","2269_1",135,2269,1481,1,1,1,1,1,1,1,1,1,1,1
"9540","2269_3",135,2269,1481,2,2,2,1,1,1,1,1,1,1,1
"9541","2269_5",135,2269,1481,1,1,1,1,1,1,1,1,1,1,1
"9542","2270_2",135,2270,1377,1,2,2,3,2,1,1,1,1,1,2
"9543","2270_4",135,2270,1377,2,2,2,2,2,1,3,2,2,2,2
"9544","2271_4",136,2271,1517,2,2,2,1,1,1,1,1,3,2,3
"9545","2271_5",136,2271,1517,3,2,3,1,1,2,2,2,2,2,1
"9546","2272_1",137,2272,2088,2,2,2,3,2,1,3,2,3,2,3
"9547","2272_2",137,2272,2088,4,2,2,3,2,2,4,4,4,4,4
"9548","2272_3",137,2272,2088,1,1,1,1,1,1,3,2,2,2,4
"9549","2273_3",135,2273,1864,3,1,2,1,1,1,1,1,1,1,2
"9550","2273_5",135,2273,1864,2,1,3,1,1,1,1,1,2,1,2
"9551","2274_1",136,2274,1796,1,1,1,1,1,1,3,2,2,2,3
"9552","2274_2",136,2274,1796,2,2,2,2,2,2,2,2,2,2,2
"9553","2274_3",136,2274,1796,1,1,1,1,1,1,3,2,1,2,3
"9554","2274_4",136,2274,1796,2,2,2,1,1,1,1,1,1,1,4
"9555","2275_1",136,2275,1797,1,2,1,2,1,1,3,3,1,1,4
"9556","2275_2",136,2275,1797,1,1,1,1,1,1,1,1,1,1,4
"9557","2275_3",136,2275,1797,1,1,1,1,1,1,3,3,3,3,4
"9558","2276_1",135,2276,1506,1,1,1,1,1,1,2,2,2,2,2
"9559","2276_3",135,2276,1506,2,2,2,3,2,1,2,3,3,2,4
"9560","2276_5",135,2276,1506,1,1,1,1,1,1,3,3,3,3,4
"9561","2277_1",135,2277,1296,1,1,1,1,1,1,1,1,1,1,1
"9562","2277_3",135,2277,1296,1,1,1,1,1,1,1,1,1,1,1
"9563","2277_4",135,2277,1296,1,1,1,1,1,1,1,2,1,2,1
"9564","2277_5",135,2277,1296,2,2,2,2,2,2,2,1,1,1,1
"9565","2278_1",135,2278,1504,1,1,1,1,1,1,1,1,4,1,1
"9566","2278_5",135,2278,1504,3,4,4,2,2,3,3,4,4,4,4
"9567","2279_2",136,2279,1520,3,3,3,1,1,1,1,1,1,1,1
"9568","2279_4",136,2279,1520,2,1,2,1,1,1,3,3,3,3,4
"9569","2279_5",136,2279,1520,1,2,1,1,1,1,2,1,1,1,2
"9570","2280_1",136,2280,1669,1,1,1,1,1,1,1,2,2,1,2
"9571","2280_2",136,2280,1669,4,2,2,2,2,1,1,1,1,1,1
"9572","2280_4",136,2280,1669,2,2,2,1,1,1,2,1,2,2,4
"9573","2281_4",135,2281,1592,2,2,3,1,1,1,2,3,2,2,2
"9574","2282_3",135,2282,1230,2,2,2,1,1,1,1,1,1,1,1
"9575","2283_2",136,2283,2138,1,1,1,1,1,1,1,1,1,1,1
"9576","2283_3",136,2283,2138,1,1,1,1,1,1,1,1,1,1,1
"9577","2283_4",136,2283,2138,1,1,1,1,1,1,2,1,1,1,3
"9578","2284_1",135,2284,1245,1,1,1,1,1,1,1,1,1,1,1
"9579","2286_1",137,2286,1881,2,1,1,1,1,1,1,2,2,1,1
"9580","2286_2",137,2286,1881,1,1,1,1,1,1,1,1,1,1,4
"9581","2286_4",137,2286,1881,1,1,1,1,1,1,1,1,1,1,1
"9582","2287_1",137,2287,1596,1,1,1,1,1,1,1,1,1,1,1
"9583","2287_4",137,2287,1596,1,1,1,2,1,1,1,1,1,1,2
"9584","2289_1",135,2289,1728,2,2,1,1,1,1,2,2,2,2,2
"9585","2289_3",135,2289,1728,2,2,2,1,1,1,3,2,1,2,4
"9586","2289_5",135,2289,1728,1,1,1,1,1,1,1,1,1,1,4
"9587","2291_1",135,2291,1805,1,1,1,1,1,1,1,1,1,1,1
"9588","2291_2",135,2291,1805,4,3,2,2,2,2,2,2,1,2,2
"9589","2291_4",135,2291,1805,1,1,2,1,1,1,2,1,1,1,1
"9590","2291_5",135,2291,1805,2,1,1,1,1,1,1,1,1,1,1
"9591","2292_1",136,2292,3075,2,1,1,1,1,1,2,1,1,1,1
"9592","2292_4",136,2292,3075,2,2,4,2,2,3,2,1,1,1,4
"9593","2293_1",135,2293,1487,2,2,2,2,2,2,2,2,2,2,4
"9594","2293_2",135,2293,1487,1,1,1,1,1,1,1,1,1,1,1
"9595","2293_3",135,2293,1487,3,1,2,1,1,1,1,1,1,1,1
"9596","2293_4",135,2293,1487,1,1,1,1,1,1,1,1,1,1,1
"9597","2294_2",136,2294,1799,2,2,2,1,1,1,1,1,1,1,1
"9598","2295_3",136,2295,1351,1,1,1,1,1,1,1,1,1,1,1
"9599","2295_5",136,2295,1351,3,3,3,3,3,1,1,1,1,2,1
"9600","2296_2",136,2296,1609,2,2,3,4,2,2,4,4,4,2,2
"9601","2297_3",136,2297,1488,1,1,1,1,1,1,1,1,1,1,1
"9602","2298_2",136,2298,1436,1,1,1,1,1,1,2,1,1,1,2
"9603","2298_3",136,2298,1436,4,3,2,3,3,2,2,3,3,4,4
"9604","2298_4",136,2298,1436,1,1,1,2,1,1,1,1,1,1,1
"9605","2298_5",136,2298,1436,1,1,1,2,1,1,1,1,1,1,1
"9606","2299_1",136,2299,1574,1,1,1,1,2,1,2,1,1,1,1
"9607","2299_2",136,2299,1574,1,1,1,1,1,1,1,1,1,1,1
"9608","2299_3",136,2299,1574,1,1,1,1,1,1,1,1,1,1,1
"9609","2300_1",136,2300,1544,1,1,1,1,1,1,1,1,1,1,1
"9610","2300_2",136,2300,1544,1,1,1,1,1,1,1,1,1,1,1
"9611","2301_1",136,2301,1690,1,1,2,1,1,1,1,1,1,1,1
"9612","2301_2",136,2301,1690,1,1,1,1,1,1,1,1,1,1,1
"9613","2301_3",136,2301,1690,1,1,1,1,1,1,1,1,1,1,1
"9614","2301_5",136,2301,1690,1,1,4,1,1,1,2,2,2,1,2
"9615","2302_5",136,2302,1389,2,2,1,1,2,3,1,4,4,4,4
"9616","2303_1",136,2303,1779,1,1,1,1,1,1,1,1,1,1,1
"9617","2303_5",136,2303,1779,1,1,1,1,1,1,1,1,1,1,2
"9618","2304_1",136,2304,1902,2,2,3,1,1,1,2,2,1,2,2
"9619","2304_2",136,2304,1902,1,1,1,1,1,1,1,1,1,1,4
"9620","2304_3",136,2304,1902,3,2,2,3,1,2,2,2,2,2,2
"9621","2304_4",136,2304,1902,2,1,1,1,1,1,4,2,2,4,2
"9622","2304_5",136,2304,1902,2,1,2,1,1,1,1,1,1,1,1
"9623","2305_4",135,2305,1604,2,2,2,2,2,1,1,1,1,2,2
"9624","2306_1",135,2306,1457,1,1,2,2,2,1,2,3,2,3,4
"9625","2306_3",135,2306,1457,2,2,3,2,1,1,1,1,1,4,4
"9626","2306_4",135,2306,1457,3,2,3,2,2,2,3,3,3,3,1
"9627","2307_2",135,2307,1645,1,1,1,1,1,1,1,1,1,1,1
"9628","2308_1",137,2308,2120,1,1,2,1,1,1,2,2,2,2,4
"9629","2309_3",136,2309,1861,1,1,1,1,1,1,1,1,1,1,1
"9630","2309_4",136,2309,1861,2,2,4,2,1,1,2,2,1,1,2
"9631","2309_5",136,2309,1861,1,1,1,1,1,1,1,1,1,1,1
"9632","2310_2",135,2310,1383,1,1,1,1,1,1,1,1,1,1,1
"9633","2311_1",135,2311,1414,2,1,1,1,1,1,1,1,1,1,1
"9634","2311_2",135,2311,1414,4,4,4,1,1,1,2,2,2,2,2
"9635","2311_3",135,2311,1414,1,1,1,1,1,1,1,1,1,1,1
"9636","2311_4",135,2311,1414,1,1,1,1,1,1,1,1,1,1,1
"9637","2311_5",135,2311,1414,1,2,2,1,1,1,1,1,1,1,1
"9638","2312_1",136,2312,1765,2,1,1,1,1,1,1,1,1,1,4
"9639","2312_2",136,2312,1765,3,1,1,3,1,1,2,2,2,2,3
"9640","2312_5",136,2312,1765,2,2,3,1,1,1,1,2,2,2,2
"9641","2313_1",135,2313,1426,1,1,1,1,1,1,1,1,2,1,2
"9642","2313_2",135,2313,1426,2,1,1,1,1,1,1,1,1,1,1
"9643","2313_4",135,2313,1426,1,2,2,1,1,2,3,2,1,2,4
"9644","2314_1",135,2314,1323,2,2,3,2,2,2,2,3,2,2,3
"9645","2314_2",135,2314,1323,3,2,1,1,1,1,1,1,1,1,1
"9646","2314_3",135,2314,1323,3,2,2,1,1,1,1,1,1,1,1
"9647","2314_5",135,2314,1323,1,1,1,1,1,1,1,1,1,1,2
"9648","2315_3",137,2315,2108,1,4,4,4,4,4,4,4,4,4,4
"9649","2316_2",136,2316,1796,1,1,1,1,1,1,1,1,1,1,1
"9650","2316_4",136,2316,1796,2,2,1,1,1,1,1,1,1,1,1
"9651","2316_5",136,2316,1796,1,1,3,1,1,1,1,1,1,1,2
"9652","2317_2",136,2317,1720,2,2,2,1,1,1,2,2,1,1,1
"9653","2317_5",136,2317,1720,2,3,1,1,1,1,3,3,4,3,4
"9654","2318_4",135,2318,1897,4,4,4,1,1,2,3,2,3,2,4
"9655","2318_5",135,2318,1897,1,1,2,1,1,2,1,1,3,2,4
"9656","2319_1",136,2319,1762,1,1,1,1,1,1,1,1,1,1,1
"9657","2319_4",136,2319,1762,1,1,1,1,1,1,1,1,1,1,1
"9658","2319_5",136,2319,1762,1,1,2,1,1,1,1,1,1,1,1
"9659","2320_2",135,2320,1789,1,1,1,1,1,1,3,1,3,2,2
"9660","2321_5",136,2321,1482,1,1,2,1,1,1,1,1,1,1,1
"9661","2323_2",136,2323,2168,1,1,2,3,1,1,1,1,1,1,4
"9662","2323_5",136,2323,2168,3,2,2,1,1,1,1,1,1,1,4
"9663","2325_1",136,2325,1694,3,3,3,2,2,3,2,2,2,2,2
"9664","2325_2",136,2325,1694,1,1,1,1,1,1,1,1,2,1,1
"9665","2325_3",136,2325,1694,1,2,1,1,1,1,2,1,2,2,2
"9666","2326_5",136,2326,2702,3,3,4,3,1,2,1,2,2,1,3
"9667","2327_3",137,2327,1914,1,1,1,1,1,1,1,2,1,1,2
"9668","2327_5",137,2327,1914,1,2,3,1,1,2,1,1,2,1,2
"9669","2328_1",135,2328,2836,2,2,2,3,2,2,2,2,2,1,4
"9670","2328_2",135,2328,2836,3,1,4,1,1,1,2,3,2,2,4
"9671","2328_3",135,2328,2836,1,1,1,1,1,1,1,1,1,1,4
"9672","2329_2",137,2329,2047,1,1,1,1,1,1,1,1,1,1,1
"9673","2329_3",137,2329,2047,2,1,1,1,1,1,1,1,1,1,1
"9674","2329_4",137,2329,2047,1,1,1,1,1,1,1,1,1,1,1
"9675","2329_5",137,2329,2047,2,2,2,2,2,2,1,1,1,1,1
"9676","2330_2",135,2330,1277,2,3,2,2,2,2,1,1,1,1,1
"9677","2330_3",135,2330,1277,2,2,2,2,1,1,1,1,1,1,1
"9678","2330_4",135,2330,1277,1,1,1,1,1,1,1,1,1,1,1
"9679","2331_2",136,2331,1831,1,1,1,1,1,1,2,1,2,2,4
"9680","2331_3",136,2331,1831,2,1,2,1,1,2,3,3,2,2,4
"9681","2331_5",136,2331,1831,1,1,1,1,1,1,1,1,1,1,4
"9682","2332_2",137,2332,2140,1,1,1,1,1,1,1,1,1,1,4
"9683","2332_3",137,2332,2140,1,1,1,1,1,1,2,2,2,1,4
"9684","2332_4",137,2332,2140,1,1,1,1,1,3,1,1,3,3,4
"9685","2333_1",137,2333,2102,1,1,1,1,1,1,1,1,1,1,2
"9686","2333_2",137,2333,2102,1,1,1,1,1,1,1,1,1,1,2
"9687","2333_3",137,2333,2102,1,1,2,1,1,1,1,1,2,2,2
"9688","2333_5",137,2333,2102,2,1,1,1,1,1,1,1,1,1,1
"9689","2334_2",136,2334,1665,1,2,1,1,1,1,1,1,1,1,1
"9690","2334_3",136,2334,1665,1,2,1,2,1,1,2,1,1,1,2
"9691","2334_4",136,2334,1665,1,1,1,1,1,1,1,1,1,1,1
"9692","2334_5",136,2334,1665,2,2,1,2,1,2,2,2,2,2,3
"9693","2335_4",136,2335,1620,1,1,1,1,1,1,1,1,1,1,2
"9694","2335_5",136,2335,1620,2,3,1,1,1,2,1,4,1,1,2
"9695","2336_1",135,2336,1648,2,1,2,1,1,1,1,1,2,2,3
"9696","2336_5",135,2336,1648,1,1,1,1,1,1,1,1,2,1,2
"9697","2338_1",136,2338,1280,1,1,1,1,1,1,1,1,1,1,1
"9698","2338_4",136,2338,1280,1,1,1,2,2,2,4,2,2,3,2
"9699","2338_5",136,2338,1280,1,1,1,1,1,1,1,1,1,1,1
"9700","2339_1",135,2339,1688,2,1,2,2,2,2,2,2,1,4,4
"9701","2339_2",135,2339,1688,2,2,3,1,3,1,3,3,2,4,1
"9702","2339_3",135,2339,1688,3,4,4,4,4,4,4,4,4,4,4
"9703","2339_4",135,2339,1688,2,2,2,1,1,3,2,3,3,4,4
"9704","2339_5",135,2339,1688,3,3,1,1,1,1,1,1,1,4,4
"9705","2340_1",135,2340,1274,2,2,2,2,2,2,2,2,2,2,2
"9706","2340_2",135,2340,1274,1,1,1,1,1,1,1,1,1,1,1
"9707","2340_3",135,2340,1274,3,3,4,3,1,4,4,4,3,4,2
"9708","2340_4",135,2340,1274,3,3,3,2,2,2,2,2,2,2,2
"9709","2341_1",136,2341,1582,1,1,1,1,1,1,1,1,1,1,1
"9710","2342_1",136,2342,1913,1,1,3,1,1,2,2,3,3,2,2
"9711","2342_3",136,2342,1913,1,1,1,1,1,1,1,1,1,1,1
"9712","2342_5",136,2342,1913,3,2,3,1,1,2,3,2,2,2,4
"9713","2343_1",136,2343,1680,1,1,1,1,1,1,1,1,1,1,1
"9714","2343_2",136,2343,1680,2,2,1,1,1,1,1,1,1,1,1
"9715","2343_3",136,2343,1680,1,2,2,2,2,2,1,2,1,1,2
"9716","2343_5",136,2343,1680,1,2,2,1,1,1,2,2,1,1,1
"9717","2344_2",137,2344,2027,2,2,2,1,4,4,1,1,1,1,1
"9718","2344_3",137,2344,2027,2,2,2,1,1,1,1,1,1,1,1
"9719","2344_4",137,2344,2027,1,1,2,1,1,1,2,1,4,2,1
"9720","2344_5",137,2344,2027,2,2,2,1,1,3,4,1,1,1,1
"9721","2345_1",136,2345,1872,2,2,2,1,1,1,2,2,1,1,4
"9722","2345_2",136,2345,1872,2,1,3,1,1,1,2,2,2,2,4
"9723","2346_1",135,2346,1561,2,2,2,2,2,2,2,2,1,1,4
"9724","2346_2",135,2346,1561,1,1,1,1,1,1,1,1,1,1,1
"9725","2346_3",135,2346,1561,1,1,1,1,1,1,1,1,1,1,1
"9726","2346_4",135,2346,1561,1,1,1,1,1,1,1,2,2,2,2
"9727","2346_5",135,2346,1561,1,2,2,2,2,2,3,2,2,2,2
"9728","2347_1",136,2347,2250,2,1,2,1,3,1,1,1,1,2,4
"9729","2347_3",136,2347,2250,4,2,3,2,2,3,2,4,3,2,3
"9730","2348_1",136,2348,1812,2,2,4,1,1,2,1,1,2,2,2
"9731","2349_3",136,2349,1747,4,3,3,2,2,2,2,3,2,2,2
"9732","2349_5",136,2349,1747,2,2,3,3,1,2,1,1,2,2,3
"9733","2350_1",135,2350,1354,3,1,1,1,2,1,2,1,1,1,1
"9734","2350_3",135,2350,1354,4,3,3,2,2,2,4,3,3,4,4
"9735","2350_4",135,2350,1354,1,1,1,1,1,1,1,1,1,1,1
"9736","2351_1",135,2351,1527,4,3,4,2,2,3,3,3,3,3,4
"9737","2351_2",135,2351,1527,1,1,1,1,1,1,1,1,1,1,1
"9738","2352_2",135,2352,2226,1,1,1,1,1,1,1,1,1,1,1
"9739","2352_4",135,2352,2226,1,1,1,1,1,1,1,1,1,1,1
"9740","2353_1",135,2353,1592,1,1,1,1,1,2,2,1,2,2,2
"9741","2354_2",136,2354,1927,3,3,3,1,1,1,1,2,2,4,1
"9742","2356_3",135,2356,1332,1,1,1,1,1,1,1,1,1,1,1
"9743","2356_4",135,2356,1332,1,1,1,1,1,1,1,1,1,1,2
"9744","2357_1",135,2357,1450,1,1,1,1,1,1,1,1,1,1,1
"9745","2357_3",135,2357,1450,1,1,1,1,1,1,1,1,2,1,1
"9746","2357_4",135,2357,1450,2,2,1,1,1,1,1,1,1,1,2
"9747","2357_5",135,2357,1450,1,1,1,1,1,1,1,1,1,1,1
"9748","2358_4",135,2358,1319,1,2,2,2,2,2,2,2,2,2,2
"9749","2358_5",135,2358,1319,1,1,1,1,1,1,1,1,1,1,1
"9750","2359_2",135,2359,1449,1,1,1,3,1,1,2,1,1,1,1
"9751","2359_5",135,2359,1449,1,1,1,1,1,1,1,1,1,1,1
"9752","2360_1",135,2360,1488,4,3,3,3,1,2,2,4,1,1,1
"9753","2360_3",135,2360,1488,1,2,2,1,1,1,1,1,1,1,1
"9754","2360_4",135,2360,1488,1,1,3,1,1,1,1,1,1,4,1
"9755","2361_2",135,2361,1381,1,1,1,1,1,1,1,1,1,1,1
"9756","2361_3",135,2361,1381,1,1,1,1,1,1,1,1,1,1,1
"9757","2362_3",135,2362,1302,2,2,2,2,2,2,1,1,1,2,4
"9758","2362_4",135,2362,1302,1,1,1,1,1,1,1,1,1,1,4
"9759","2363_4",135,2363,1526,1,1,2,2,2,1,2,2,2,3,2
"9760","2363_5",135,2363,1526,2,1,2,1,1,1,2,1,1,1,2
"9761","2364_1",135,2364,1526,1,1,1,1,1,1,1,1,1,2,1
"9762","2364_2",135,2364,1526,1,1,1,1,1,1,1,1,1,1,1
"9763","2364_3",135,2364,1526,2,2,3,1,1,1,2,2,2,2,2
"9764","2364_4",135,2364,1526,2,2,2,2,2,2,1,1,1,1,1
"9765","2364_5",135,2364,1526,1,1,1,1,1,1,1,2,2,2,3
"9766","2365_2",135,2365,1189,1,1,1,1,1,1,1,1,1,1,1
"9767","2366_3",135,2366,1734,2,2,2,2,2,2,1,1,1,2,3
"9768","2366_4",135,2366,1734,1,1,3,1,1,1,1,1,1,1,1
"9769","2367_1",135,2367,1530,1,1,2,1,2,2,1,1,1,1,2
"9770","2367_2",135,2367,1530,1,2,1,1,2,2,1,1,1,1,3
"9771","2367_3",135,2367,1530,3,3,3,3,2,2,1,2,2,2,3
"9772","2367_4",135,2367,1530,1,1,1,1,1,1,1,1,1,1,1
"9773","2367_5",135,2367,1530,1,1,1,2,1,1,1,1,1,1,2
"9774","2368_1",136,2368,1749,1,1,2,1,1,1,2,1,1,1,4
"9775","2368_2",136,2368,1749,1,1,1,1,1,2,1,1,1,1,4
"9776","2368_3",136,2368,1749,3,2,2,2,3,2,3,2,3,3,4
"9777","2368_4",136,2368,1749,2,2,3,1,2,1,2,1,1,1,4
"9778","2368_5",136,2368,1749,1,1,1,1,1,1,2,1,1,1,4
"9779","2370_2",136,2370,1428,3,3,3,4,3,2,1,1,3,1,4
"9780","2370_3",136,2370,1428,2,1,1,1,1,1,2,1,1,2,4
"9781","2371_2",136,2371,1623,1,1,1,1,1,1,1,1,1,1,1
"9782","2371_3",136,2371,1623,1,1,1,1,1,1,1,1,1,1,1
"9783","2371_4",136,2371,1623,1,1,1,1,2,1,1,1,1,1,1
"9784","2372_1",135,2372,1380,1,1,1,1,1,1,1,1,1,1,1
"9785","2372_2",135,2372,1380,2,2,2,1,1,1,3,2,1,2,1
"9786","2373_3",135,2373,1255,1,1,1,1,1,1,1,1,1,1,2
"9787","2373_5",135,2373,1255,2,2,2,2,2,2,2,2,3,2,3
"9788","2374_1",135,2374,1518,1,1,1,1,1,1,1,1,1,1,1
"9789","2374_2",135,2374,1518,2,2,2,2,2,2,1,1,1,1,1
"9790","2374_3",135,2374,1518,1,1,1,1,1,1,1,1,1,1,1
"9791","2374_4",135,2374,1518,2,2,3,3,1,2,3,2,1,1,1
"9792","2374_5",135,2374,1518,2,1,1,1,1,1,1,1,1,1,1
"9793","2375_2",135,2375,1451,1,1,1,1,1,1,1,1,1,1,2
"9794","2375_4",135,2375,1451,1,1,1,1,1,1,1,1,1,1,1
"9795","2376_2",135,2376,1403,1,1,1,1,1,1,1,1,1,1,1
"9796","2376_4",135,2376,1403,2,2,2,2,1,1,1,1,1,1,1
