Estado,credito,acc_bien,acc_mal,aseq_bien,aseq_mal,cul_bien,cul_mal,habit_bien,habit_mal,satis_bien,satis_mal,serv_bien,serv_mal,ten_bien,ten_mal,ubi_bien,ubi_mal
Coahuila,Ninguno,0.4457605822519512,0.5542394177480489,0.7598158565641504,0.2401841434358496,0.5893910719282056,0.4106089280717944,0.7324810877600922,0.2675189122399078,0.426522493965288,0.573477506034712,0.9789580150880833,0.021041984911916667,0.5009966615747427,0.49900333842525735,0.6727769754666584,0.3272230245333417
Coahuila,Otro,0.43945326404214424,0.5605467359578558,0.6675446714600982,0.3324553285399018,0.7193469542725611,0.2806530457274388,0.9300799696257801,0.06992003037421989,0.9048076694905199,0.09519233050948007,0.9944590778576683,0.005540922142331696,0.996760874208016,0.0032391257919840537,0.7304406634868655,0.26955933651313446
Colima,Infonavit,0.3109980999217615,0.6890019000782385,0.7811277523192132,0.21887224768078686,0.5613613501732424,0.43863864982675754,0.967754554599307,0.03224544540069297,0.6834134346708394,0.31658656532916063,0.9972616519503744,0.002738348049625573,1,0,0.7596121605007264,0.2403878394992735
Colima,Ninguno,0.43213979352501153,0.5678602064749885,0.7995237038325645,0.2004762961674355,0.5420418348799961,0.4579581651200038,0.6857525059537021,0.3142474940462979,0.32722866415121504,0.672771335848785,0.9624661823722428,0.03753381762775715,0.444047197710899,0.5559528022891009,0.704216480807184,0.295783519192816
Colima,Otro,0.40593436679122424,0.5940656332087758,0.8351030374782641,0.1648969625217359,0.7109770986717969,0.289022901328203,0.8450553109622998,0.15494468903770026,0.829257464205113,0.17074253579488696,0.989048799437641,0.010951200562358947,0.9869029560842059,0.013097043915794148,0.756705760479485,0.243294239520515
Durango,Infonavit,0.44427628401223634,0.5557237159877636,0.7616164868781194,0.23838351312188052,0.5151827402994686,0.4848172597005313,0.8755111898245049,0.12448881017549508,0.6882305586862019,0.3117694413137981,0.9951698599259379,0.004830140074062148,0.9951215585251972,0.004878441474802769,0.8257768475285784,0.17422315247142167
Durango,Ninguno,0.5170124023016316,0.48298759769836846,0.7620551634179439,0.23794483658205612,0.6115549688101575,0.3884450311898425,0.5866293931392866,0.4133706068607134,0.478219706931193,0.521780293068807,0.9433980623376077,0.05660193766239231,0.6620346507053217,0.33796534929467825,0.6154734228879796,0.38452657711202043
Durango,Otro,0.47345101991173505,0.5265489800882649,0.754734683948987,0.24526531605101295,0.6953817284637036,0.30461827153629634,0.809709142718143,0.19029085728185705,0.7407999444000417,0.2592000555999583,0.9632692775480418,0.03673072245195816,0.9956736282447788,0.004326371755221184,0.7693817979636516,0.23061820203634847
Guanajuato,Infonavit,0.2055188923395445,0.7944811076604555,0.7987108566252588,0.20128914337474121,0.5673039596273292,0.4326960403726708,0.9120163690476191,0.08798363095238096,0.8503372476708074,0.14966275232919254,0.9964051177536232,0.003594882246376811,1,0,0.7404931741718427,0.2595068258281574
Guanajuato,Ninguno,0.3853721948549535,0.6146278051450466,0.7341321154898741,0.2658678845101259,0.5465294882320745,0.4534705117679256,0.7370450191570881,0.26295498084291186,0.45772441160372196,0.5422755883962781,0.9230902777777777,0.07690972222222223,0.5956024220032841,0.40439757799671594,0.5577705938697318,0.4422294061302682
Guanajuato,Otro,0.33789887030966254,0.6621011296903375,0.799686328152638,0.2003136718473621,0.661423079644348,0.338576920355652,0.8477099596707625,0.1522900403292375,0.7849107332374237,0.21508926676257636,0.9618110421924011,0.03818895780759888,1,0,0.608104761680149,0.39189523831985096
Guerrero,Infonavit,0.43425222487518994,0.5657477751248101,0.603342739309746,0.396657260690254,0.5944432385500326,0.40555676144996744,0.690601258953766,0.309398741046234,0.7499891469502931,0.25001085304970694,1,0,1,0,0.7216409811156935,0.2783590188843065
Guerrero,Ninguno,0.5720381250072775,0.4279618749927225,0.7517281620222245,0.2482718379777755,0.46120158202996125,0.5387984179700387,0.451192926664864,0.548807073335136,0.3311899768543376,0.6688100231456624,0.7295153124923182,0.2704846875076818,0.6769181207636904,0.3230818792363096,0.41399296961824533,0.5860070303817546
Guerrero,Otro,0.6155480898041058,0.38445191019589414,0.8302531263808328,0.16974687361916718,0.4814942101460965,0.5185057898539035,0.49186755227000145,0.5081324477299985,0.5198874993862965,0.4801125006137035,0.8548573753129888,0.14514262468701122,0.9969560307763524,0.003043969223647573,0.4581524369288174,0.5418475630711825
Hidalgo,Infonavit,0.44441312062618155,0.5555868793738185,0.6713541839408311,0.32864581605916887,0.3929222911346224,0.6070777088653776,0.8996550694835992,0.10034493051640078,0.7276541408245166,0.27234585917548343,0.989735000497496,0.010264999502504063,0.99286922490133,0.007130775098670028,0.753855593512653,0.24614440648734703
Hidalgo,Ninguno,0.5089018605343044,0.4910981394656955,0.7334028439674503,0.2665971560325497,0.45784460103467084,0.5421553989653292,0.6109323607353986,0.38906763926460136,0.48721812381891605,0.512781876181084,0.9063782664029486,0.09362173359705135,0.7266510382519682,0.27334896174803175,0.5197678326455729,0.4802321673544271
Hidalgo,Otro,0.47126241375890743,0.5287375862410926,0.7354753708189893,0.26452462918101066,0.5939903948319095,0.4060096051680904,0.7956989247311828,0.20430107526881722,0.7467239010016009,0.25327609899839915,0.9669485882669614,0.03305141173303866,0.99300154419369,0.006998455806309944,0.615566605748934,0.38443339425106604
Jalisco,Infonavit,0.38529282405816623,0.6147071759418338,0.7679948321123741,0.23200516788762593,0.47506081889027857,0.5249391811097214,0.9656321728493478,0.03436782715065217,0.8448327995931663,0.1551672004068337,1,0,1,0,0.8297827013208351,0.17021729867916488
Jalisco,Ninguno,0.43828994220552236,0.5617100577944777,0.8245076719066917,0.1754923280933083,0.5323444932847586,0.4676555067152414,0.8391732993744793,0.1608267006255207,0.37905160331499105,0.6209483966850089,0.9777696832597298,0.022230316740270234,0.42553707349625425,0.5744629265037458,0.7346366015680619,0.26536339843193807
Jalisco,Otro,0.41973365390033623,0.5802663460996638,0.8235128383328012,0.17648716166719886,0.6294220402336633,0.37057795976633673,0.920250192528034,0.07974980747196604,0.8767257085970811,0.12327429140291891,0.9943274667067376,0.005672533293262458,1,0,0.770589229700032,0.22941077029996806
Mexico,Infonavit,0.5161480202487934,0.4838519797512067,0.7409893489364426,0.2590106510635573,0.4895296554772325,0.5104703445227675,0.9178296366824529,0.0821703633175471,0.9436776220266555,0.05632237797334446,1,0,0.9920979311284923,0.007902068871507734,0.8475764028444144,0.15242359715558568
Mexico,Ninguno,0.5311452625837598,0.46885473741624023,0.8161928415496269,0.18380715845037313,0.44470400206598343,0.5552959979340166,0.7406354988565028,0.2593645011434972,0.505423340415506,0.4945766595844941,0.9498238207995131,0.05017617920048692,0.5447748059323085,0.4552251940676915,0.7391476264631258,0.2608523735368741
Mexico,Otro,0.5598223195030096,0.44017768049699035,0.8169489762820307,0.18305102371796936,0.5560141728423185,0.44398582715768153,0.8522721363999891,0.1477278636000109,0.9200710127738808,0.07992898722611923,0.9380619059055986,0.06193809409440143,1,0,0.8387752524939894,0.1612247475060106
Michoacan,Infonavit,0.3789792518552173,0.6210207481447827,0.7563228835377859,0.24367711646221416,0.5208238679388157,0.4791761320611843,0.8987631884496946,0.10123681155030542,0.8059972739663789,0.19400272603362106,0.9893987581402393,0.010601241859760715,0.9953657428441618,0.004634257155838255,0.6638497652582159,0.336150234741784
Michoacan,Ninguno,0.4909878588617719,0.5090121411382281,0.741901854125116,0.258098145874884,0.5329033525718249,0.4670966474281752,0.6449959415081185,0.3550040584918816,0.4309116870258933,0.5690883129741068,0.8886599727780592,0.11134002722194085,0.566906933201325,0.43309306679867493,0.5695986051378313,0.43040139486216866
Michoacan,Otro,0.5125344644750796,0.48746553552492045,0.8007140332272888,0.1992859667727112,0.5835489572287027,0.4164510427712973,0.707734181689643,0.29226581831035703,0.7748957228702722,0.22510427712972783,0.9083209614704842,0.09167903852951573,0.9919901025097208,0.008009897490279251,0.6126193001060445,0.38738069989395546
Morelos,Infonavit,0.5920833333333333,0.40791666666666665,0.7659294871794872,0.23407051282051283,0.4650961538461538,0.5349038461538461,0.879102564102564,0.1208974358974359,0.6457371794871795,0.3542628205128205,1,0,1,0,0.7704487179487179,0.22955128205128206
Morelos,Ninguno,0.6435060142265048,0.3564939857734952,0.7031636534702452,0.2968363465297548,0.5511128143984557,0.44888718560154434,0.6062851303014819,0.39371486969851816,0.46080005839842325,0.5391999416015768,0.9514421166184068,0.04855788338159314,0.6358391934528879,0.36416080654711214,0.7090846047156727,0.2909153952843273
Morelos,Otro,0.5997469664730577,0.4002530335269423,0.7152797745701306,0.28472022542986947,0.6431460501849828,0.35685394981501717,0.7575478750934499,0.2424521249065501,0.8013303429371058,0.19866965706289416,0.9873674928594706,0.012632507140529454,1,0,0.6961680756033508,0.30383192439664924
Nayarit,Infonavit,0.26515623463064364,0.7348437653693564,0.7323518803895209,0.267648119610479,0.5721171185940522,0.4278828814059477,0.9354077182858455,0.06459228171415456,0.8402242696481852,0.1597757303518148,1,0,1,0,0.7266467753041084,0.2733532246958917
Nayarit,Ninguno,0.34924095383335646,0.6507590461666436,0.816903507555802,0.18309649244419798,0.6186503535283516,0.38134964647164843,0.7196797449050326,0.28032025509496744,0.44541106335782615,0.5545889366421739,0.9512685429086372,0.04873145709136282,0.606748232358242,0.39325176764175795,0.614037155136559,0.385962844863441
Nayarit,Otro,0.4132287926528419,0.5867712073471582,0.8393541926186464,0.16064580738135364,0.6610244009672456,0.3389755990327545,0.8624606140543709,0.1375393859456291,0.814977650765736,0.18502234923426394,0.9897413350919616,0.010258664908038395,1,0,0.6848147333968394,0.31518526660316065
Nuevo Leon,Infonavit,0.3432933928932871,0.6567066071067129,0.8112077724537218,0.1887922275462782,0.555805392059608,0.44419460794039195,0.8617896443437082,0.13821035565629178,0.8549839376504279,0.14501606234957204,1,0,0.99473339305361,0.00526660694639003,0.8712867715579177,0.12871322844208236
Nuevo Leon,Ninguno,0.3732584018455097,0.6267415981544903,0.7179571345819656,0.28204286541803436,0.6211186878182132,0.3788813121817868,0.7887765368238128,0.21122346317618723,0.4431621629861485,0.5568378370138515,0.9855499435981342,0.014450056401865835,0.49731811668580606,0.502681883314194,0.7755175252284021,0.22448247477159786
Nuevo Leon,Otro,0.3808151918032419,0.619184808196758,0.6760139452503194,0.3239860547496805,0.7090834697217676,0.2909165302782324,0.9277851265609937,0.07221487343900634,0.9224491626123803,0.07755083738761967,0.986088379705401,0.013911620294599018,0.9910936484092998,0.008906351590700176,0.8603289016433872,0.1396710983566128
Oaxaca,Infonavit,0.3473886164996802,0.6526113835003198,0.7752717970581965,0.22472820294180346,0.36260925175868686,0.6373907482413131,0.8429332764868898,0.1570667235131102,0.5939884885951823,0.4060115114048177,1,0,1,0,0.773225325090599,0.22677467490940098
