X,Estado,Indice_Habitabilidad,Indice_Accesibilidad,Indice_Servicios,Indice_Ubicacion,,,,
75,02,64.1427094,23.51822674,77.92664979,0.150934121,,,,
76,02,55.91739144,36.97039545,78.24521655,0.147408632,,,,
77,02,64.85740605,51.89456008,77.92664979,18.40775522,,,,
78,02,56.28533476,22.89983362,77.92664979,0.153436489,,,,
79,02,60.26451274,21.90242582,77.92664979,0.147932763,,,,
80,02,62.95285515,21.90242582,77.92664979,0.154186358,,,,
81,02,66.06848531,23.51822674,77.92664979,0.154949084,,,,
82,02,66.06848531,23.51822674,77.92664979,0.154941097,,,,
83,02,66.06848531,23.51822674,77.92664979,0.153137328,,,,
84,02,64.85740605,29.98827181,77.92664979,0.122171033,,,,
85,02,64.85740605,21.90242582,77.92664979,0.141939805,,,,
86,02,58.35996185,23.51822674,77.92664979,0.153926852,,,,
87,02,79.89514271,22.98220268,77.92664979,18.47147511,,,,
88,01,60.26451274,21.90242582,78.02293214,49.90687608,,,,
89,01,74.58755276,22.98220268,77.92664979,49.91435576,,,,
90,01,64.85740605,23.51822674,78.02293214,0.137384631,,,,
91,01,61.47559201,21.90242582,77.92664979,0.149325692,,,,
92,01,66.06848531,22.89983362,78.02293214,31.21093812,,,,
93,02,62.43606065,23.51822674,77.92664979,0.156636476,,,,
94,02,66.06848531,22.98220268,77.92664979,0.150989699,,,,
95,02,54.72753719,21.90242582,77.92664979,49.9912074,,,,
96,02,66.06848531,22.98220268,77.92664979,18.46476494,,,,
97,02,66.06848531,23.51822674,77.92664979,18.53604105,,,,
98,02,55.76854026,22.98220268,77.92664979,0.151219998,,,,
99,02,62.95285515,22.89983362,77.92664979,18.51487829,,,,
100,02,58.35996185,23.51822674,77.92664979,31.26813249,,,,
101,02,64.85740605,22.89983362,77.92664979,18.52897505,,,,
102,02,61.21392075,28.82311352,77.92664979,0.154438228,,,,
103,02,79.89514271,23.51822674,77.92664979,0.150992284,,,,
104,02,64.85740605,23.51822674,77.92664979,0.155501644,,,,
105,02,79.89514271,29.72735243,77.92664979,31.22440749,,,,
106,02,61.47559201,23.51822674,77.92664979,0.155386715,,,,
107,02,79.89514271,23.51822674,77.92664979,0.156636476,,,,
108,02,81.10622198,36.82659045,77.92664979,31.20655102,,,,
109,02,75.21242404,22.98220268,77.92664979,0.155386715,,,,
110,02,66.06848531,23.51822674,77.92664979,0.156636476,,,,
111,02,60.26451274,22.89983362,77.92664979,0.112723182,,,,
112,02,64.85740605,23.51822674,77.92664979,0.118708621,,,,
113,02,53.59699235,23.51822674,77.92664979,0.081563009,,,,
114,02,62.95285515,23.51822674,77.92664979,0.088785383,,,,
115,02,56.39049175,36.06615654,77.92664979,49.88548474,,,,
116,02,66.06848531,21.90242582,77.92664979,0.146412065,,,,
117,02,66.06848531,22.89983362,77.92664979,18.47443452,,,,
118,01,64.1427094,23.51822674,77.92664979,0.156636476,,,,
119,01,66.06848531,21.90242582,77.92664979,0.147782113,,,,
120,01,60.98338505,51.89456008,77.92664979,0.147563864,,,,
121,01,66.06848531,50.89715228,77.92664979,0.150817421,,,,
122,01,66.06848531,22.89983362,77.92664979,0.122694384,,,,
123,01,62.95285515,37.44498357,77.92664979,18.47729843,,,,
124,01,66.06848531,23.51822674,77.92664979,0.156636476,,,,
125,01,62.95285515,21.90242582,77.92664979,0.149106717,,,,
126,01,52.75806709,23.51822674,78.24521655,49.8844808,,,,
127,01,66.06848531,22.89983362,77.92664979,0.155213242,,,,
128,03,66.06848531,22.89983362,77.92664979,18.49190683,,,,
129,03,66.06848531,22.89983362,77.92664979,18.53602422,,,,
130,03,66.06848531,22.89983362,77.92664979,18.4912911,,,,
131,03,66.06848531,23.51822674,77.92664979,0.154307866,,,,
132,01,67.30798655,22.89983362,77.92664979,18.50251429,,,,
133,01,70.83606761,22.89983362,77.92664979,18.47797522,,,,
134,01,61.47559201,23.51822674,77.92664979,0.15078472,,,,
135,01,60.51028474,23.51822674,77.92664979,18.52545782,,,,
136,01,61.47559201,22.98220268,77.92664979,31.20184735,,,,
137,02,66.06848531,22.98220268,77.92664979,0.153871753,,,,
138,02,66.06848531,23.51822674,77.92664979,18.4758766,,,,
139,02,66.06848531,22.89983362,77.92664979,0.156636476,,,,
140,02,66.06848531,23.51822674,77.92664979,0.155243988,,,,
141,02,66.06848531,23.51822674,77.92664979,0.156636476,,,,
142,02,60.26451274,23.51822674,77.92664979,18.52476695,,,,
143,02,66.06848531,23.51822674,77.92664979,0.156636476,,,,
144,02,66.06848531,22.89983362,77.92664979,0.147561975,,,,
145,02,60.4146239,22.89983362,77.92664979,0.12603437,,,,
146,02,66.06848531,28.82311352,77.92664979,0.1479299,,,,
147,02,62.95285515,44.06963347,77.92664979,0.149313337,,,,
148,02,66.06848531,22.89983362,77.92664979,18.47265194,,,,
149,02,75.12756041,22.89983362,77.92664979,18.48992505,,,,
150,02,60.98338505,38.26384105,77.92664979,0.153346387,,,,
151,02,66.06848531,37.44498357,77.92664979,0.155559145,,,,
152,02,64.85740605,23.51822674,77.92664979,0.156636476,,,,
153,02,64.1427094,37.44498357,77.92664979,0.151441122,,,,
154,02,66.06848531,23.51822674,77.92664979,0.156636476,,,,
155,02,66.06848531,23.51822674,77.92664979,0.156636476,,,,
156,02,64.85740605,22.98220268,77.92664979,0.156636476,,,,
157,03,66.06848531,23.51822674,77.92664979,0.098127683,,,,
158,03,64.85740605,22.89983362,77.92664979,0.074490418,,,,
159,03,66.06848531,22.98220268,77.92664979,0.146680139,,,,
160,03,66.06848531,23.51822674,77.92664979,0.122201486,,,,
161,03,67.59649883,22.98220268,77.92664979,18.45567882,,,,
162,02,64.1427094,23.51822674,77.92664979,49.89831796,,,,
163,02,61.21392075,23.51822674,77.92664979,18.50592715,,,,
164,02,66.06848531,22.98220268,77.92664979,0.151221516,,,,
165,02,60.26451274,22.98220268,77.92664979,31.18074516,,,,
166,02,66.06848531,23.51822674,77.92664979,0.156636476,,,,
167,02,66.06848531,23.51822674,77.92664979,18.51050315,,,,
168,02,66.06848531,21.90242582,77.92664979,0.156636476,,,,
169,02,56.63208808,23.51822674,77.92664979,49.91897183,,,,
170,02,59.5498161,22.89983362,77.92664979,31.20890456,,,,
171,02,64.85740605,22.89983362,77.92664979,0.149367997,,,,
172,02,69.23376247,45.50688408,77.92664979,0.155501644,,,,
173,02,66.06848531,22.89983362,77.92664979,18.52354864,,,,
174,01,54.80807161,22.98220268,77.92664979,18.44328586,,,,
175,01,59.5498161,23.51822674,77.92664979,0.156636476,,,,
176,01,55.91739144,22.89983362,77.92664979,18.53296787,,,,
177,01,64.85740605,29.90590275,77.92664979,18.46367536,,,,
178,01,62.43606065,23.51822674,77.92664979,0.152306834,,,,
179,02,60.26451274,44.06963347,77.92664979,18.46605798,,,,
