vid,EST_DIS,UPM_DIS,FACTOR
121_5,2,121,223
122_1,1,122,195
122_2,1,122,195
122_3,1,122,195
122_4,1,122,195
122_5,1,122,195
123_2,2,123,206
123_3,2,123,206
123_5,2,123,206
124_2,2,124,240
124_3,2,124,240
124_4,2,124,240
124_5,2,124,240
125_1,3,125,224
125_3,3,125,224
125_4,3,125,224
125_5,3,125,224
126_1,2,126,212
126_2,2,126,212
126_5,2,126,212
127_2,2,127,217
127_3,2,127,217
127_5,2,127,217
128_1,2,128,208
128_2,2,128,208
128_3,2,128,208
128_4,2,128,208
128_5,2,128,208
129_1,2,129,223
129_2,2,129,223
129_3,2,129,223
129_4,2,129,223
129_5,2,129,223
130_1,2,130,227
130_2,2,130,227
130_3,2,130,227
130_4,2,130,227
130_5,2,130,227
131_1,2,131,229
131_2,2,131,229
131_3,2,131,229
131_4,2,131,229
131_5,2,131,229
132_1,2,132,210
132_2,2,132,210
132_3,2,132,210
132_4,2,132,210
132_5,2,132,210
133_1,2,133,172
133_2,2,133,172
133_3,2,133,172
133_4,2,133,172
133_5,2,133,172
134_1,2,134,234
134_2,2,134,234
134_4,2,134,234
134_5,2,134,234
135_1,2,135,213
135_2,2,135,213
135_3,2,135,213
136_1,1,136,205
136_2,1,136,205
136_3,1,136,205
136_4,1,136,205
136_5,1,136,205
137_1,2,137,232
137_2,2,137,232
137_3,2,137,232
137_4,2,137,232
137_5,2,137,232
138_1,3,138,241
138_4,3,138,241
138_5,3,138,241
139_1,2,139,193
139_2,2,139,193
139_3,2,139,193
139_4,2,139,193
139_5,2,139,193
140_1,2,140,222
140_3,2,140,222
140_4,2,140,222
141_1,2,141,212
141_2,2,141,212
141_3,2,141,212
141_4,2,141,212
141_5,2,141,212
142_1,2,142,212
142_2,2,142,212
142_3,2,142,212
142_4,2,142,212
142_5,2,142,212
143_1,2,143,192
143_3,2,143,192
143_4,2,143,192
143_5,2,143,192
144_1,2,144,215
144_4,2,144,215
144_5,2,144,215
145_1,2,145,203
145_3,2,145,203
146_1,2,146,213
146_2,2,146,213
146_3,2,146,213
146_4,2,146,213
146_5,2,146,213
147_1,2,147,201
147_2,2,147,201
147_3,2,147,201
147_4,2,147,201
147_5,2,147,201
148_1,2,148,196
148_2,2,148,196
148_3,2,148,196
148_4,2,148,196
148_5,2,148,196
149_1,1,149,213
149_2,1,149,213
149_3,1,149,213
149_4,1,149,213
149_5,1,149,213
150_4,1,150,193
150_5,1,150,193
151_1,3,151,228
151_2,3,151,228
151_3,3,151,228
151_5,3,151,228
152_1,1,152,226
152_2,1,152,226
152_3,1,152,226
152_4,1,152,226
152_5,1,152,226
153_1,2,153,223
153_2,2,153,223
153_3,2,153,223
153_5,2,153,223
154_1,2,154,214
154_2,2,154,214
154_3,2,154,214
154_4,2,154,214
154_5,2,154,214
155_1,1,155,186
155_2,1,155,186
155_3,1,155,186
155_4,1,155,186
155_5,1,155,186
156_1,2,156,270
156_4,2,156,270
157_1,2,157,207
157_2,2,157,207
157_3,2,157,207
157_4,2,157,207
157_5,2,157,207
158_1,3,158,242
158_2,3,158,242
158_3,3,158,242
158_4,3,158,242
158_5,3,158,242
159_1,2,159,226
159_3,2,159,226
159_5,2,159,226
160_1,1,160,243
160_2,1,160,243
160_3,1,160,243
160_4,1,160,243
160_5,1,160,243
161_1,2,161,194
161_3,2,161,194
161_4,2,161,194
161_5,2,161,194
162_2,2,162,202
162_3,2,162,202
162_4,2,162,202
162_5,2,162,202
163_1,2,163,217
163_2,2,163,217
163_3,2,163,217
163_4,2,163,217
163_5,2,163,217
164_1,1,164,217
164_2,1,164,217
164_3,1,164,217
164_4,1,164,217
164_5,1,164,217
165_1,2,165,179
165_2,2,165,179
165_3,2,165,179
165_4,2,165,179
166_1,2,166,225
166_2,2,166,225
166_3,2,166,225
166_4,2,166,225
166_5,2,166,225
167_1,1,167,221
167_3,1,167,221
167_4,1,167,221
167_5,1,167,221
168_1,3,168,270
168_2,3,168,270
168_3,3,168,270
168_4,3,168,270
168_5,3,168,270
169_1,3,169,248
169_2,3,169,248
169_3,3,169,248
169_4,3,169,248
169_5,3,169,248
170_1,3,170,211
170_2,3,170,211
170_3,3,170,211
170_4,3,170,211
170_5,3,170,211
171_1,3,171,231
171_3,3,171,231
171_4,3,171,231
172_1,3,172,232
172_3,3,172,232
172_5,3,172,232
173_1,3,173,213
173_2,3,173,213
173_3,3,173,213
173_5,3,173,213
174_1,3,174,225
174_2,3,174,225
174_3,3,174,225
174_5,3,174,225
175_1,3,175,229
175_2,3,175,229
175_4,3,175,229
175_5,3,175,229
176_1,3,176,241
176_2,3,176,241
176_3,3,176,241
176_4,3,176,241
176_5,3,176,241
177_1,3,177,218
177_2,3,177,218
177_3,3,177,218
177_5,3,177,218
178_1,1,178,220
178_2,1,178,220
178_3,1,178,220
178_4,1,178,220
178_5,1,178,220
179_1,1,179,239
179_2,1,179,239
179_3,1,179,239
179_4,1,179,239
179_5,1,179,239
180_1,1,180,165
180_2,1,180,165
180_3,1,180,165
180_4,1,180,165
180_5,1,180,165
181_1,3,181,225
181_2,3,181,225
181_3,3,181,225
181_4,3,181,225
181_5,3,181,225
182_1,2,182,223
182_2,2,182,223
182_3,2,182,223
182_4,2,182,223
182_5,2,182,223
183_1,2,183,226
183_2,2,183,226
183_4,2,183,226
184_1,1,184,232
184_4,1,184,232
184_5,1,184,232
185_1,3,185,202
185_2,3,185,202
185_3,3,185,202
185_4,3,185,202
185_5,3,185,202
186_3,3,186,220
186_5,3,186,220
187_1,3,187,214
187_2,3,187,214
187_3,3,187,214
187_4,3,187,214
187_5,3,187,214
188_1,3,188,225
188_2,3,188,225
188_3,3,188,225
188_4,3,188,225
188_5,3,188,225
189_1,1,189,292
189_2,1,189,292
189_3,1,189,292
189_4,1,189,292
189_5,1,189,292
190_1,1,190,243
190_2,1,190,243
190_3,1,190,243
190_4,1,190,243
190_5,1,190,243
191_1,1,191,215
191_2,1,191,215
191_4,1,191,215
191_5,1,191,215
192_1,3,192,215
192_2,3,192,215
192_3,3,192,215
192_4,3,192,215
192_5,3,192,215
193_1,3,193,199
193_2,3,193,199
193_3,3,193,199
193_4,3,193,199
193_5,3,193,199
194_1,1,194,235
194_2,1,194,235
194_4,1,194,235
194_5,1,194,235
195_1,3,195,252
195_2,3,195,252
195_3,3,195,252
195_4,3,195,252
195_5,3,195,252
196_1,3,196,226
196_2,3,196,226
196_3,3,196,226
196_4,3,196,226
197_1,3,197,228
197_2,3,197,228
197_3,3,197,228
197_5,3,197,228
198_1,1,198,208
198_2,1,198,208
198_3,1,198,208
198_4,1,198,208
198_5,1,198,208
199_1,1,199,216
199_2,1,199,216
199_3,1,199,216
199_4,1,199,216
199_5,1,199,216
200_2,2,200,188
200_3,2,200,188
200_4,2,200,188
200_5,2,200,188
201_1,3,201,231
201_2,3,201,231
201_3,3,201,231
201_4,3,201,231
201_5,3,201,231
202_2,2,202,209
202_3,2,202,209
202_4,2,202,209
202_5,2,202,209
203_1,3,203,214
203_2,3,203,214
203_3,3,203,214
203_4,3,203,214
203_5,3,203,214
204_1,3,204,221
204_2,3,204,221
204_3,3,204,221
204_5,3,204,221
205_1,2,205,178
205_2,2,205,178
205_3,2,205,178
205_4,2,205,178
205_5,2,205,178
206_1,2,206,235
206_2,2,206,235
206_3,2,206,235
206_5,2,206,235
207_2,1,207,216
207_3,1,207,216
207_5,1,207,216
